"census","sector_type","longitude","latitude","census_pop","total","july","aug","sept","oct","nov","dec","jan","feb","mar","apr","may","june","count"
188200,"Government",-118.28,34.11,5767,218389,30890,28551,30184,17347,259,30935,217,13433,22751,11888,14898,17036,19
106510,"Residential",-118.48,34.32,3651,179551,1275,37365,1309,37300,874,28559,1097,19669,583,20488,815,30217,647
120020,"Residential",-118.46,34.22,4257,129507,24822,166,23416,0,23808,228,21877,72,16266,34,18795,23,281
222000,"Residential",-118.31,34.02,7314,216277,214,39596,375,39431,215,37323,208,31954,211,30315,198,36237,1450
139000,"Business",-118.51,34.17,4776,59434,10776,8036,6340,5225,2992,2394,1344,1082,645,2976,7215,10409,21
211110,"Business",-118.29,34.07,5779,55268,5104,5074,4880,6000,4761,6002,5768,3476,3133,3736,3267,4067,89
143700,"Business",-118.35,34.13,3976,107835,9302,10006,10436,9046,9130,7600,7547,8131,8345,9256,9132,9904,140
132000,"Government",-118.51,34.19,6115,70487,8724,8633,8506,8249,6115,5126,3321,2067,2011,3283,6333,8119,26
187100,"Government",-118.26,34.11,6849,8515,584,618,697,1007,869,872,807,643,298,422,767,931,24
211701,"Business",-118.32,34.07,3054,21775,1945,2089,2312,2121,2076,1609,1498,1847,1267,1734,1587,1690,44
124600,"Residential",-118.43,34.16,4270,286110,13710,42048,12679,45627,1449,48591,2546,33408,2361,36580,2878,44233,1143
670100,"Residential",-118.32,33.79,6484,2798,568,0,572,0,496,0,433,0,327,0,402,0,18
101120,"Residential",-118.29,34.27,3280,189926,38666,299,44384,160,5319,30491,3738,18967,18183,1882,25236,2601,1171
291220,"Business",-118.29,33.88,3479,40329,1163,17960,2750,2381,2251,2270,2346,2132,1923,2088,1610,1455,43
207300,"Government",-118.25,34.05,3739,61212,5499,8528,6531,7723,442,8640,460,3353,8275,3291,3867,4603,26
212303,"Business",-118.29,34.06,3154,69895,6141,5944,5545,7567,683,7469,528,6729,14986,4386,5277,4640,62
262200,"Business",-118.47,34.1,4398,40761,4654,4513,5638,3231,3673,2058,2104,1795,2112,2605,4840,3538,54
127601,"Business",-118.48,34.2,5965,26506,2056,2241,2623,2409,820,3530,892,2171,3352,2031,2200,2181,90
262301,"Residential",-118.49,34.1,2670,380963,1266,80117,1220,81424,811,59562,638,39791,589,46980,848,67717,992
291300,"Business",-118.3,33.86,2715,80852,7218,6683,7957,6297,4066,9291,5126,4919,4701,10135,4607,9852,112
195801,"Residential",-118.27,34.08,6087,160987,399,28416,379,28382,463,28154,359,23594,548,24244,131,25918,805
141600,"Residential",-118.46,34.14,3871,426377,86978,334,93455,747,79116,329,52348,506,47211,480,64462,411,1747
270300,"Residential",-118.37,34.04,3431,123677,74,23516,135,22397,32,21475,24,18171,64,16687,17,21085,781
183101,"Government",-118.18,34.12,3998,12565,1007,1484,1777,1214,895,553,408,441,2244,412,947,1183,18
214900,"Business",-118.38,34.07,5829,298265,26936,23791,28824,30679,24816,25415,17682,22688,27463,20112,23312,26547,147
134103,"Business",-118.58,34.22,3986,13434,1185,1355,1227,1390,1043,1253,1052,1077,724,973,975,1180,19
211320,"Residential",-118.29,34.07,3654,102513,15402,1319,16212,1242,17071,1458,15413,1605,14684,1461,15262,1384,133
199120,"Residential",-118.2,34.07,3561,80603,28,12704,33,12529,32,15451,1787,12887,413,11429,178,13132,308
265303,"Residential",-118.45,34.07,4152,128325,5879,14091,5315,14271,6227,15636,9270,14702,6368,13168,7005,16393,123
127802,"Residential",-118.46,34.19,6808,246660,43291,2218,45930,2242,41476,2186,35881,1860,30827,1946,36752,2051,804
199700,"Government",-118.22,34.07,3298,4407,319,344,366,407,424,389,247,180,201,478,538,514,18
117520,"Business",-118.46,34.23,3762,12841,1090,984,1003,1089,1169,1301,1027,945,1044,1035,1030,1124,28
293301,"Business",-118.3,33.81,2977,14900,1397,1177,1300,1473,1305,1368,1128,1097,1159,1256,971,1269,35
123103,"Residential",-118.37,34.19,4223,148868,735,29831,582,26948,754,24024,632,20667,495,19553,542,24105,425
199000,"Residential",-118.22,34.08,3641,90741,508,15828,613,15626,598,14193,537,15013,463,12457,461,14444,391
212900,"Residential",-118.32,34.05,4407,133351,2374,21342,2411,21576,2460,19857,2140,19293,2116,18755,2017,19010,267
189500,"Residential",-118.32,34.11,4473,194207,2696,30047,2632,35152,2794,29628,2576,28386,2766,26194,2885,28451,511
185320,"Residential",-118.23,34.09,3186,71724,20,13138,49,13549,30,11423,37,10595,9,10521,15,12338,444
183210,"Residential",-118.19,34.13,5663,167549,552,30952,569,31206,923,29173,726,23357,547,22880,784,25880,1147
231900,"Business",-118.28,34,6092,40877,3530,3609,3356,3648,3381,3835,3159,3133,3368,3307,3027,3524,92
297300,"Residential",-118.31,33.72,2886,109293,19940,68,20209,77,10445,9477,8699,7349,9518,5353,11486,6672,747
217000,"Business",-118.38,34.05,6726,63256,5448,4943,5333,5160,5339,5345,5278,5201,4488,5416,4836,6469,217
135201,"Business",-118.63,34.19,2449,70151,6057,7518,6910,6056,1202,10048,1499,4673,8792,4788,5925,6683,75
274200,"Business",-118.46,33.97,4273,8948,670,894,983,671,993,549,652,583,533,641,768,1011,25
192410,"Residential",-118.32,34.08,3923,142032,24882,1069,26988,950,24980,1158,21313,991,17327,839,20515,1020,752
213202,"Business",-118.3,34.05,4125,16703,1511,1369,1382,1245,1425,1290,1415,0,2662,1452,1400,1552,36
267700,"Residential",-118.44,34.04,1591,51396,8988,354,8631,347,8525,601,7960,404,6623,417,7941,605,329
107020,"Residential",-118.45,34.3,4299,138372,213,27390,200,27502,562,22127,127,19224,62,17908,84,22973,737
241300,"Business",-118.29,33.93,2955,7405,754,662,596,694,718,537,628,787,474,482,501,572,15
189600,"Residential",-118.33,34.11,3511,182639,12365,20885,12517,21416,12233,19112,11262,16305,9754,17646,10967,18177,901
183620,"Residential",-118.19,34.12,3316,83792,15784,43,15748,40,14168,50,13218,22,11618,24,13066,11,540
119800,"Business",-118.43,34.23,5714,18994,1932,2122,2089,1916,1509,1542,1243,930,1033,1565,1424,1689,42
113202,"Residential",-118.63,34.24,4623,272303,54086,1317,61293,1676,49254,1508,33505,1105,24006,1330,40439,2784,825
215100,"Government",-118.35,34.06,5630,45760,4747,5415,5674,4767,3138,3933,2354,1665,1841,3791,3633,4802,16
190400,"Residential",-118.3,34.1,6463,194934,12171,23956,10029,23231,3016,30890,4016,26754,3474,25460,5121,26816,202
128400,"Residential",-118.46,34.17,4101,197852,38423,331,39713,415,35204,355,29486,187,22762,177,30038,761,1030
239320,"Business",-118.27,33.98,2992,15498,480,573,5058,1147,945,1166,1055,1145,973,1067,913,976,27
132300,"Business",-118.53,34.2,5684,66476,5239,5457,5398,5493,4939,5443,4642,4935,4508,9609,5261,5552,165
275601,"Business",-118.41,33.99,3420,36862,3060,3035,3773,3470,5286,2662,2279,2273,2812,2438,2928,2846,102
104610,"Business",-118.42,34.26,3600,17233,1447,1709,1491,1573,1344,1471,1451,1252,1120,1260,1130,1985,61
211110,"Residential",-118.29,34.07,5779,161472,22870,4931,20115,8095,21602,5251,21338,6664,18132,4591,19850,8033,201
132700,"Residential",-118.53,34.19,4844,201954,24497,15614,24565,15041,22818,13572,18213,12385,12923,11682,15908,14736,1034
265200,"Business",-118.44,34.06,6531,47256,3962,2858,3189,3894,7143,3916,3711,1891,2122,2138,2446,9986,37
135112,"Residential",-118.61,34.18,6011,255818,14475,23007,18287,22504,20995,27082,16840,22547,11123,32623,14649,31686,60
181000,"Residential",-118.2,34.14,6134,295820,32363,24363,35265,25275,18760,34074,12750,23957,17575,17231,22898,31309,1810
209102,"Business",-118.27,34.06,4677,69580,7529,6694,6331,6214,0,6113,5372,4790,5239,8191,606,12501,57
278000,"Government",-118.4,33.96,2430,321510,24371,33964,35034,33152,27461,23303,26705,24755,20507,24422,21473,26363,97
293305,"Residential",-118.3,33.79,4660,143674,27056,1160,27115,1106,24077,809,20761,892,16934,956,22444,364,642
237800,"Residential",-118.3,33.97,4217,138820,22280,2698,24082,3015,20009,2619,18510,2295,16478,2240,22211,2383,1008
139702,"Residential",-118.5,34.14,5928,895684,190737,1264,199660,1090,167055,1141,125202,1247,84740,1274,120867,1407,2333
187200,"Residential",-118.25,34.1,3178,79823,14351,48,14040,156,14346,31,13427,50,11507,7,11821,39,571
113231,"Residential",-118.64,34.22,2103,158232,33061,185,37218,106,27948,138,18490,36,15485,35,25419,111,731
218900,"Business",-118.32,34.03,5432,16921,1592,1514,1616,1404,1584,1313,1322,1077,1142,1269,1597,1491,24
275510,"Residential",-118.42,33.99,2878,89836,17063,38,17131,39,1137,14485,1003,12797,12526,23,13561,33,611
104702,"Residential",-118.4,34.26,6262,151623,1422,25606,1232,29657,1226,24223,1186,18707,966,17574,1045,28779,447
243000,"Business",-118.23,33.94,5483,9446,698,601,603,769,641,653,747,819,906,1379,952,678,29
240020,"Residential",-118.26,33.95,4262,130315,22108,343,23227,533,21356,166,21706,170,19211,134,21182,179,892
139000,"Residential",-118.51,34.17,4776,259125,45842,3062,48028,2702,48893,3524,38398,2017,24970,4133,34214,3342,1364
115102,"Residential",-118.52,34.24,5639,197832,3749,36622,4314,33813,27,17170,14182,3114,18912,28488,8,37433,372
197420,"Residential",-118.26,34.08,4165,96795,16970,341,17125,367,16830,362,16170,292,13287,309,14325,417,575
111301,"Business",-118.52,34.26,6714,67046,7835,7534,6249,5955,3315,6485,4522,4989,4323,4772,5494,5573,155
204700,"Residential",-118.21,34.03,4965,126127,22418,104,22863,79,21709,57,21741,246,18270,182,18428,30,745
131600,"Residential",-118.55,34.21,4779,246206,242,52157,292,46556,37,38996,163,30770,160,32415,132,44286,1294
700200,"Business",-118.37,34.09,6499,49514,4544,4141,4654,4183,1170,8020,773,4040,6474,3974,3315,4226,111
131600,"Business",-118.55,34.21,4779,23894,3218,2257,2379,2313,2107,1733,1472,1280,1459,1776,1867,2033,38
109400,"Business",-118.45,34.27,4873,12307,1579,1598,1598,1143,1148,676,606,453,575,838,1008,1085,17
120101,"Business",-118.45,34.23,7527,92706,7839,8306,7808,8236,8177,8806,7418,7415,7251,6976,7445,7029,126
124300,"Residential",-118.36,34.18,4319,138905,229,25178,811,26443,60,22690,234,19928,65,19004,43,24220,678
132900,"Residential",-118.53,34.18,3481,186889,16512,21217,16119,20885,15576,17398,13095,14726,8417,13890,11042,18012,986
239800,"Business",-118.26,33.96,7563,32839,2536,2658,2724,2347,3136,2820,2828,2642,2836,2941,2508,2863,103
267402,"Business",-118.47,34.04,4820,57715,4686,4242,4055,4556,8747,5781,4792,4396,4280,3972,4060,4148,70
124600,"Business",-118.43,34.16,4270,21451,2274,2009,2057,2256,1457,1916,1644,1298,1390,1246,1931,1973,52
240600,"Residential",-118.27,33.95,4135,156327,27673,438,27744,614,23855,556,24404,165,25835,124,24778,141,843
224200,"Residential",-118.28,34.04,3067,77630,12965,1314,12130,1164,11499,1185,11733,696,10232,1925,10422,2365,177
231100,"Government",-118.28,34.01,1383,5310,709,628,795,392,42,477,227,261,368,479,457,475,18
240800,"Business",-118.26,33.94,3817,9631,1047,1147,1017,872,679,643,567,584,565,730,830,950,60
197600,"Business",-118.25,34.07,2984,13417,1283,1187,1248,1015,0,1110,988,893,861,1759,0,3073,39
237900,"Residential",-118.31,33.97,3537,133124,25449,113,25784,142,8629,12541,6859,13373,6987,12582,7608,13057,1075
203710,"Business",-118.2,34.05,3473,10326,852,834,806,790,873,840,906,873,839,858,955,900,17
208902,"Residential",-118.27,34.06,2344,67547,11698,6999,4507,7302,401,4383,7699,3739,6331,4132,6452,3904,25
201401,"Government",-118.18,34.08,4738,19795,1634,1966,2436,2104,1733,1854,798,1341,1247,940,1619,2123,20
234800,"Residential",-118.32,33.98,3314,107849,9188,10168,9657,10451,89,19211,92,16268,36,15264,306,17119,964
228720,"Residential",-118.25,34,4157,99764,16754,348,16402,71,17326,149,17145,86,15163,235,16057,28,491
205120,"Residential",-118.21,34.02,3880,38284,5802,1022,6901,1078,5596,1351,5419,730,4457,591,4634,703,161
204700,"Government",-118.21,34.03,4965,14999,994,1009,933,1274,1190,1417,546,676,544,4310,882,1224,23
269600,"Business",-118.38,34.04,6761,27724,1759,1540,1925,1767,5462,2122,2284,2111,1903,2189,2203,2459,46
115202,"Business",-118.54,34.23,4674,75175,6077,10279,6229,7634,5282,7344,3922,4232,6793,5396,5770,6217,198
128100,"Residential",-118.44,34.19,8145,314395,27631,31147,30140,29135,29278,25543,26148,20738,21244,22247,25126,26018,1060
183820,"Residential",-118.2,34.1,3784,41262,7308,284,7145,352,6496,327,6209,313,6289,269,5997,273,160
219500,"Business",-118.34,34.02,1703,7438,428,1225,661,715,724,511,497,410,622,439,696,510,16
234600,"Government",-118.33,33.99,4813,15090,1434,1280,1571,1510,1331,1426,869,882,772,2388,465,1162,21
217200,"Government",-118.34,34.05,3950,6849,665,623,612,508,497,477,435,862,592,487,498,593,19
700100,"Business",-118.35,34.09,10257,139231,17729,18216,11343,12457,674,10881,9988,9403,14786,13930,9979,9845,268
293202,"Business",-118.3,33.82,6622,74239,7962,8268,8248,7645,6559,5477,4607,3652,4186,6088,4640,6907,123
189702,"Government",-118.34,34.11,1755,30488,4874,4427,3704,2449,1794,1443,1236,919,2856,2041,1813,2932,24
137102,"Residential",-118.59,34.17,7366,422065,17337,65644,18200,66051,15085,60932,16263,39804,8802,43449,14883,55615,1035
239500,"Business",-118.26,33.97,5995,19518,1540,1869,1770,1749,1556,1762,1455,1427,1323,1781,1696,1590,75
113301,"Business",-118.56,34.25,1915,136592,12585,11663,13194,12497,11310,10755,12509,8829,9034,8625,9933,15658,128
234000,"Residential",-118.32,34.01,5053,186819,287,35596,235,32811,254,29638,295,28860,1770,25520,336,31217,1513
122110,"Residential",-118.37,34.22,5421,128905,22648,793,24355,727,23316,770,18390,686,16437,632,19431,720,494
104201,"Residential",-118.42,34.29,4787,140183,196,27553,373,26914,210,24081,241,18637,506,18391,106,22975,744
219800,"Business",-118.36,34.03,4783,20908,1582,1356,1531,1342,1802,1649,1648,1626,1470,3440,1704,1758,65
210010,"Business",-118.27,34.05,3607,16229,2809,1170,1528,1250,17,1913,1228,1170,1176,1370,1344,1254,56
139701,"Government",-118.5,34.16,4571,35140,4251,6119,4652,3982,2461,2257,1735,504,753,1899,2737,3790,18
265200,"Residential",-118.44,34.06,6531,252118,9079,36315,10982,35671,12859,30887,9641,26640,7760,27699,10729,33856,575
181500,"Business",-118.19,34.13,3891,10812,909,997,920,822,210,895,889,678,945,1593,227,1727,34
294820,"Residential",-118.27,33.78,3555,77608,22,13641,43,13314,14,12758,20,13169,30,11590,40,12967,240
131800,"Residential",-118.53,34.2,4664,202304,21399,29217,10906,28256,9732,16201,16888,14026,12314,12856,14472,16037,960
271200,"Residential",-118.44,34.03,3920,159408,29915,180,28673,192,26560,377,26562,322,21085,362,24681,499,764
111301,"Government",-118.52,34.26,6714,27568,3446,2991,3222,3164,1770,2763,1599,1624,1029,1652,1795,2513,20
106114,"Residential",-118.43,34.3,5136,149687,2823,26046,2641,26429,2280,22678,2080,20269,1665,17334,1171,24271,488
203710,"Residential",-118.2,34.05,3473,78496,14011,44,14199,12,12998,15,12793,3,11404,24,12944,49,347
201301,"Residential",-118.19,34.09,3678,105362,20770,781,17138,788,16521,658,17953,1116,13395,644,14970,628,609
218900,"Residential",-118.32,34.03,5432,179480,1098,30686,1284,32227,1045,28477,1135,27258,969,25012,1334,28955,537
115302,"Residential",-118.55,34.22,4802,161278,950,31671,790,28460,760,25668,554,249,22685,22208,546,26737,456
275100,"Business",-118.41,34,5895,21511,1780,1706,1949,1970,0,3585,0,1899,3408,1700,1589,1925,23
124202,"Residential",-118.38,34.18,6261,191173,323,34962,421,35275,250,31488,253,27608,395,27660,217,32321,716
262702,"Business",-118.53,34.04,3456,34939,3330,2880,3469,2879,13,3175,2786,2578,2225,5079,6,6519,76
135202,"Business",-118.64,34.19,4283,15764,1690,1436,1547,1280,0,2236,560,991,2206,1405,1019,1394,44
111204,"Government",-118.55,34.26,5756,23995,2149,2601,3824,3771,2579,1207,990,851,740,1200,1757,2326,17
