"census","sector_type","longitude","latitude","census_pop","total","july","aug","sept","oct","nov","dec","jan","feb","mar","apr","may","june","count"
139400,"Government",-118.55,34.17,5387,16068,3745,1760,1868,1221,948,1251,951,594,621,961,1047,1101,20
139400,"Residential",-118.55,34.17,5387,529277,1355,113919,1360,114190,869,82788,2081,55566,738,60906,828,94677,1323
139501,"Residential",-118.52,34.17,7987,337984,38667,19365,39081,19990,35302,21999,32457,17855,32453,16545,45142,19128,219
139502,"Residential",-118.53,34.16,2887,185327,34142,3332,36303,3574,30024,2872,25907,2132,17828,2274,23608,3331,944
139600,"Business",-118.51,34.17,4547,121556,9960,9711,9628,16714,11771,9239,9966,8152,8137,9363,9008,9907,149
139600,"Government",-118.51,34.17,4547,10363,821,910,803,797,590,1507,1406,499,393,831,771,1035,15
139701,"Business",-118.5,34.16,4571,136049,11656,13278,12779,13286,11315,14418,10427,9973,9031,9538,9876,10472,117
139703,"Residential",-118.53,34.15,2965,477889,82265,27233,82995,26433,64892,18643,46742,10195,37555,10655,49057,21224,1076
141100,"Business",-118.43,34.15,5202,49258,4388,3804,3740,3706,2261,4804,3342,3173,4603,6849,4216,4372,194
141301,"Residential",-118.45,34.15,5260,278444,41634,7083,46484,7774,43764,7176,34724,6358,31011,6601,38920,6915,596
141400,"Residential",-118.48,34.16,4286,362845,71887,1753,77519,2134,66739,2063,49719,1767,37249,1346,49223,1446,1201
141500,"Residential",-118.48,34.14,2952,515172,118513,454,112543,319,94959,505,61100,8,56294,215,69689,573,1170
143300,"Residential",-118.39,34.15,5565,335092,2763,61803,2810,63109,2403,56706,2310,41815,2278,41980,2243,54872,1187
143400,"Business",-118.41,34.15,5358,9272,1003,826,808,854,611,1037,558,564,808,738,622,843,40
143400,"Residential",-118.41,34.15,5358,331508,57871,6149,61348,6348,1293,59860,2295,37814,2133,40246,2462,53689,1289
143602,"Residential",-118.39,34.15,3773,219662,13233,26328,16221,26247,2799,35954,3359,25873,2956,28420,2670,35602,632
143901,"Residential",-118.4,34.13,3863,468355,52944,43919,57952,45064,882,86024,820,49034,7984,46545,9589,67598,1676
143902,"Business",-118.42,34.14,2853,37911,4360,3250,2664,2690,0,4582,1138,4829,4985,3107,3504,2802,67
181400,"Residential",-118.21,34.14,4439,132642,6406,17429,6303,19264,1061,22108,1354,18938,1780,17533,1232,19234,679
181500,"Residential",-118.19,34.13,3891,141277,26399,415,28476,450,6907,17176,5554,14111,5057,13599,5887,17246,1151
181600,"Residential",-118.21,34.13,5662,149028,88,27930,67,28897,72,25494,56,21317,123,20146,52,24786,1019
183101,"Business",-118.18,34.12,3998,13783,1085,1076,1192,1239,1219,1143,1196,1229,1084,1116,1046,1158,47
183101,"Residential",-118.18,34.12,3998,125188,22552,174,24444,210,21867,428,18553,145,16648,155,19874,138,1012
183102,"Residential",-118.18,34.12,6132,213731,38223,525,40412,681,37467,498,31689,493,29096,556,33497,594,1149
183220,"Business",-118.19,34.12,4363,17594,1536,1649,1316,1690,1551,1523,1415,1346,1293,1403,1424,1448,53
183220,"Residential",-118.19,34.12,4363,100442,21,18215,90,17933,30,18210,621,15389,46,14422,16,15449,635
183300,"Business",-118.2,34.12,4897,26887,2286,2274,2210,2352,2269,2437,2191,2110,1974,2270,2442,2072,70
183300,"Residential",-118.2,34.12,4897,131887,6672,18777,6566,18452,5930,16800,5771,14277,5135,12845,5785,14877,1023
183400,"Business",-118.21,34.12,4127,18912,3173,1646,1438,1485,1560,1516,1340,1315,1234,1339,1371,1495,81
183510,"Residential",-118.2,34.12,2900,71149,12416,674,12548,673,11380,592,10706,552,9818,516,10662,612,586
183610,"Residential",-118.19,34.11,3729,67868,12163,494,12113,442,11082,360,10392,354,9575,334,10202,357,319
183700,"Government",-118.19,34.11,6422,8854,656,1073,736,455,378,940,323,324,1197,419,1448,905,20
183700,"Residential",-118.19,34.11,6422,200094,33845,2110,34810,2493,33495,1874,31468,1181,27709,1404,28011,1694,918
185100,"Business",-118.21,34.1,6159,34264,3700,3762,3497,4009,2994,2632,2331,1752,1778,2423,2543,2843,45
185201,"Business",-118.23,34.1,5308,19086,2590,1743,1792,1292,1168,1039,779,868,786,3202,1624,2203,60
185201,"Government",-118.23,34.1,5308,34509,4180,5172,5303,2237,3441,2109,1212,1072,1086,3133,2103,3461,17
185202,"Residential",-118.22,34.09,3827,130489,697,24866,418,24634,504,20575,474,19083,431,16819,406,21582,876
185310,"Business",-118.22,34.09,3364,2092,123,155,159,188,147,187,187,184,185,185,184,208,16
186200,"Business",-118.22,34.12,8146,32620,2605,2709,3209,2697,2731,2620,2700,2503,2766,2583,2649,2848,79
186300,"Business",-118.23,34.11,6120,24922,2067,2115,2063,2178,2182,2210,2157,1956,1754,2013,2184,2043,85
186300,"Residential",-118.23,34.11,6120,192398,113,36074,153,36304,48,32502,27,28293,52,27053,133,31646,1500
186402,"Residential",-118.24,34.11,5777,143086,134,26325,346,26010,356,23542,217,22088,91,20808,232,22937,803
187100,"Residential",-118.26,34.11,6849,212824,233,40137,59,40402,70,36108,81,30673,70,29078,96,35817,1457
187300,"Government",-118.26,34.1,3390,10697,1285,1126,1169,1172,212,673,565,1438,604,773,799,881,25
188100,"Business",-118.27,34.13,4348,372255,34044,28757,35267,34535,30308,30154,33447,31700,32605,23922,29318,28198,217
188100,"Residential",-118.27,34.13,4348,127294,1121,20530,1065,20572,35,18459,5797,17901,855,15690,900,24369,627
189100,"Business",-118.29,34.11,6271,47750,4111,4258,4236,4143,3309,3934,3748,3253,4372,4798,2922,4666,116
189200,"Residential",-118.3,34.11,6681,332472,21745,42217,21782,42794,5178,53577,5780,39767,4926,40086,5061,49559,1082
189300,"Government",-118.31,34.11,3097,14992,664,752,626,555,241,3690,633,487,5389,632,549,774,16
189300,"Residential",-118.31,34.11,3097,338682,775,65215,958,69299,470,63202,906,40875,491,40277,515,55699,1302
189702,"Business",-118.34,34.11,1755,27535,2577,2467,3976,2510,1725,1431,3029,1600,2282,2095,1979,1864,22
189800,"Residential",-118.36,34.1,2738,157827,25727,1494,25698,5543,93,23892,3094,21720,2270,22141,76,26079,537
190100,"Residential",-118.34,34.1,5296,202740,26535,7462,27684,7772,26880,6920,24844,6531,22164,6121,32439,7388,352
190510,"Residential",-118.31,34.1,4189,102220,2803,15377,2998,14675,1968,14835,2023,13816,4707,12408,2969,13641,100
190520,"Business",-118.3,34.1,4326,20024,3160,1779,1656,1677,304,1729,1653,1496,1681,1636,1675,1578,44
190700,"Residential",-118.34,34.1,3269,87567,12621,2463,12075,2937,13197,4753,11189,2889,10679,2288,9275,3201,202
190800,"Business",-118.33,34.09,6310,125389,11083,10733,12085,11551,10292,10021,9731,10867,9203,9883,9306,10634,262
191110,"Business",-118.3,34.1,3818,114334,9508,10459,9851,10902,11096,10067,7246,9431,7611,8622,8134,11407,53
191201,"Residential",-118.3,34.1,4774,127499,12165,10650,11276,12049,1061,20578,1826,19346,1544,17140,1715,18149,268
191203,"Business",-118.29,34.09,3313,10445,1114,1003,1018,947,965,914,798,847,598,748,767,726,38
191204,"Residential",-118.3,34.09,2514,69573,310,11553,505,11897,346,12643,336,11113,251,9646,286,10687,224
191300,"Business",-118.29,34.09,5580,248230,20869,23819,22907,21844,193,27162,18674,15683,18908,36066,2198,39907,162
191300,"Residential",-118.29,34.09,5580,148946,23743,1522,24495,1533,62,25790,417,24403,15523,8341,14870,8247,418
191410,"Business",-118.29,34.09,4957,23756,2142,1995,2907,2186,2200,1978,1969,1716,1583,1637,1766,1677,61
191410,"Residential",-118.29,34.09,4957,129244,1900,19992,2074,22567,1789,20352,1520,19822,1199,17469,1475,19085,180
191420,"Business",-118.29,34.09,3732,19290,1495,1461,1762,1650,1672,1654,1691,1730,1548,1436,1661,1530,32
191420,"Residential",-118.29,34.09,3732,88145,1513,13180,1727,14459,1465,13860,1498,13100,1301,11553,1380,13109,153
191500,"Business",-118.3,34.09,5756,18296,1475,1692,1882,1491,1515,1503,1466,1490,1273,1409,1464,1636,56
191620,"Residential",-118.3,34.09,2813,80251,1153,13138,420,13870,1380,13019,1064,11978,784,10866,844,11735,123
191720,"Business",-118.31,34.09,4093,30302,2287,2308,2561,2670,2505,2602,2659,2855,1828,3053,2355,2619,31
191900,"Business",-118.34,34.09,6682,133940,11763,11828,12148,12319,12359,10978,11116,10674,9405,10640,10068,10642,387
191900,"Government",-118.34,34.09,6682,4965,579,371,391,462,383,508,334,334,392,364,447,400,18
192000,"Business",-118.35,34.08,5319,72523,12231,6386,6497,6775,418,6589,5655,5007,5660,6395,5400,5510,240
192300,"Business",-118.33,34.08,2495,81914,11892,12287,10730,7701,4847,3489,3118,2884,3110,5359,7265,9232,114
192300,"Residential",-118.33,34.08,2495,159530,25932,4001,27055,4010,24023,3948,23037,3657,15887,4021,19822,4137,484
