"caseid","age","gender","fulltime_emp","phys_challenge","sleep","homework","socializing"
"20160706161802",58,"Female","No answer","No difficulty",450,0,555
"20160403161711",15,"Male","No answer","No difficulty",515,0,115
"20160302160106",62,"Female","Part time","No difficulty",735,0,215
"20160202160920",85,"Female","No answer","Has difficulty",720,0,565
"20160403162068",52,"Male","Full time","Has difficulty",705,0,270
"20160112152352",29,"Female","No answer","Has difficulty",510,0,375
"20160201160954",47,"Female","Part time","No difficulty",1067,0,360
"20160201161992",25,"Male","No answer","No difficulty",528,0,625
"20160201162276",64,"Male","Part time","No difficulty",720,0,486
"20160807161060",54,"Male","No answer","No difficulty",475,0,580
"20160706161446",34,"Male","Full time","No difficulty",555,0,465
"20160807162122",79,"Female","No answer","No difficulty",540,0,450
"20160605160131",76,"Female","No answer","No difficulty",420,0,425
"20161211161900",65,"Female","No answer","Has difficulty",590,0,595
"20161211160036",69,"Male","No answer","No difficulty",600,0,378
"20160112152094",64,"Male","Full time","No difficulty",465,0,245
"20160706161192",45,"Female","Full time","No difficulty",470,0,107
"20160504161497",35,"Male","Full time","No difficulty",393,0,274
"20160808160520",68,"Male","No answer","No difficulty",450,0,335
"20160201161024",69,"Female","No answer","Has difficulty",540,0,705
"20160807161147",76,"Female","No answer","No difficulty",585,0,635
"20160504161300",55,"Female","No answer","Has difficulty",505,0,755
"20160908161253",74,"Female","No answer","Has difficulty",878,0,198
"20160605160725",36,"Male","Full time","No difficulty",535,0,160
"20160605162270",40,"Female","Full time","No difficulty",495,0,145
"20160201161262",55,"Male","Full time","No difficulty",570,0,570
"20160807161624",39,"Female","Full time","No difficulty",559,0,70
"20161008162087",51,"Male","Full time","No difficulty",540,0,120
"20160112151787",42,"Male","Full time","No difficulty",480,0,0
"20160807160707",36,"Female","Full time","No difficulty",480,0,50
"20160504160874",33,"Female","Part time","No difficulty",445,0,80
"20160201161776",65,"Male","No answer","No difficulty",300,0,1112
"20161211162052",53,"Female","No answer","No difficulty",445,0,375
"20160706160008",80,"Male","No answer","No difficulty",417,0,955
"20160605160516",78,"Male","No answer","No difficulty",540,0,450
"20160112152465",43,"Female","Full time","No difficulty",720,0,437
"20160504160521",58,"Female","Full time","No difficulty",630,0,239
"20160706161190",28,"Female","Full time","No difficulty",620,0,330
"20160302161430",60,"Female","No answer","Has difficulty",345,0,225
"20160301160579",71,"Male","No answer","No difficulty",390,0,120
"20160606160662",31,"Male","Full time","No difficulty",450,0,120
"20161110161746",49,"Female","Part time","No difficulty",495,0,231
"20160707161557",58,"Female","No answer","No difficulty",480,0,374
"20161009162366",35,"Female","Full time","No difficulty",433,0,225
"20160201162160",80,"Male","No answer","No difficulty",240,0,720
"20160403161095",51,"Female","Full time","No difficulty",546,0,30
"20161009160148",71,"Female","No answer","Has difficulty",480,0,240
"20161009161369",59,"Male","Full time","No difficulty",520,0,90
"20160605162397",53,"Male","Full time","No difficulty",540,0,400
"20160605160552",59,"Female","Part time","No difficulty",495,0,67
"20161009162232",61,"Female","No answer","Has difficulty",796,0,540
"20161009160109",85,"Male","No answer","Has difficulty",525,0,175
"20160403160949",77,"Male","No answer","No difficulty",435,0,300
"20160808160754",85,"Male","No answer","No difficulty",705,0,240
"20161008160660",55,"Male","No answer","No difficulty",660,0,705
"20161009160856",25,"Female","Part time","No difficulty",480,0,810
"20160706162104",58,"Male","No answer","Has difficulty",630,0,380
"20160403160525",40,"Female","Part time","No difficulty",557,0,0
"20160302160849",77,"Male","No answer","No difficulty",760,0,610
"20160112152349",34,"Female","Full time","No difficulty",439,0,150
"20160111152341",18,"Male","Part time","No difficulty",640,0,360
"20160201160743",71,"Female","No answer","No difficulty",510,0,725
"20160403160840",33,"Female","Full time","No difficulty",607,0,285
"20160605160765",53,"Female","Full time","No difficulty",470,0,0
"20160604160649",45,"Male","Full time","No difficulty",460,0,96
"20161009162201",80,"Female","No answer","Has difficulty",675,0,360
"20161009161024",59,"Female","Full time","No difficulty",485,0,243
"20161010161698",44,"Female","Part time","No difficulty",585,0,380
"20160403160541",16,"Female","No answer","No difficulty",420,0,230
"20161010161360",74,"Female","No answer","No difficulty",570,0,345
"20160403160897",30,"Female","Full time","No difficulty",485,0,200
"20160404161684",43,"Female","Part time","No difficulty",615,0,121
"20161009160550",37,"Female","Full time","No difficulty",470,0,70
"20161109161847",38,"Female","Part time","No difficulty",420,0,270
"20161008160872",48,"Female","No answer","Has difficulty",760,0,330
"20160504161323",56,"Female","No answer","Has difficulty",735,0,0
"20160504161557",49,"Male","Full time","No difficulty",780,0,185
"20160908161835",31,"Female","Full time","No difficulty",435,0,15
"20160807161063",71,"Female","No answer","No difficulty",554,0,280
"20160606161072",34,"Male","Full time","No difficulty",450,0,355
"20160706161342",65,"Female","No answer","Has difficulty",510,0,30
"20161010162304",73,"Male","No answer","No difficulty",620,0,305
"20160808161323",71,"Male","Full time","No difficulty",465,0,420
"20160605160517",28,"Male","Full time","No difficulty",452,0,238
"20160302160949",60,"Female","Full time","No difficulty",585,0,400
"20161110161251",31,"Female","Part time","No difficulty",510,0,0
"20160403161288",85,"Female","No answer","Has difficulty",630,0,440
"20160202162198",70,"Male","No answer","Has difficulty",570,0,320
"20161009161126",76,"Female","No answer","Has difficulty",540,0,580
"20160706160989",31,"Female","Full time","No difficulty",620,0,530
"20161110160905",34,"Female","Full time","No difficulty",480,75,0
"20161009162410",42,"Female","Full time","No difficulty",460,0,330
"20160112150814",66,"Female","No answer","No difficulty",390,0,254
"20160403161935",38,"Female","Full time","No difficulty",415,0,55
"20161111160971",66,"Female","No answer","No difficulty",360,0,815
"20161110160840",60,"Male","Full time","No difficulty",510,0,720
"20160112151124",32,"Male","Full time","No difficulty",420,0,487
"20161211161299",16,"Female","No answer","No difficulty",525,210,210
"20160806161548",50,"Female","Full time","No difficulty",305,0,60
"20161009161734",74,"Male","No answer","No difficulty",720,0,480
"20160112151504",43,"Male","Full time","No difficulty",510,0,330
"20161210162284",67,"Male","No answer","No difficulty",600,0,715
