"caseid","state","age","gender","citizen","marital_stat","veteran","active_armedforces","emp_status","multi_jobs","work_class","retired","fulltime_emp","hours_worked","fam_income","household_size","household_kids","household_child","phys_challenge","travel","phone","volunteer","religion","sports","social","food","gov_civic","household","pro_services","purchasing","education","work","care_nonhousehold","care_household","household_chores","personal_care","sleep","groom","health_related","eating","class","homework","socializing"
"20160504161971","Texas",65,"Female","Foreign born, US citizen","Married","Non-Veteran","No","Employed","No","Self-employed, unincorporated","No answer","Part time",16,"$10,000 to $12,499",2,0,"No","No difficulty",95,0,0,180,0,165,120,0,0,0,150,0,120,0,0,60,550,490,60,0,120,0,0,165
"20160302161850","Alabama",70,"Male","Native, Born in USA","Widowed","Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$20,000 to $24,999",1,0,"No","No difficulty",70,0,0,45,45,570,45,0,0,0,60,0,0,0,0,25,580,525,55,0,45,0,0,570
"20161109161407","Ohio",56,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, local","No answer","Full time",70,"$100,000 to $149,999",3,0,"No","No difficulty",34,45,140,0,0,53,30,0,0,0,0,0,568,0,0,60,510,450,60,0,30,0,0,53
"20160202160857","California",33,"Male","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$100,000 to $149,999",5,0,"No","No difficulty",139,0,0,0,0,219,75,0,0,0,0,0,425,0,87,60,435,405,30,0,75,0,0,219
"20160807161065","Connecticut",38,"Female","Native, Born in Territory","Separated","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$7,500 to $9,999",3,0,"No","No difficulty",60,0,0,0,0,245,40,0,0,0,0,0,565,0,0,140,390,360,30,0,40,0,0,245
"20160504161048","Florida",60,"Male","Native, Born in Territory","Divored","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$35,000 to $39,999",1,0,"No","No difficulty",142,0,31,70,15,306,58,0,0,0,1,0,5,201,0,75,536,448,88,0,58,0,0,306
"20160201161434","Tennessee",47,"Male","Foreign born, US citizen","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$100,000 to $149,999",4,2,"Yes","No difficulty",66,0,0,10,0,165,40,0,0,0,0,0,508,0,120,38,493,478,15,0,40,0,0,165
"20160112152198","South Carolina",60,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, state","No answer","Part time",5,"$25,000 to $29,999",2,0,"No","No difficulty",110,0,0,0,0,55,30,0,0,0,0,0,315,105,0,205,620,570,50,0,30,0,0,55
"20160302161758","Utah",39,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, state","No answer","Full time",40,"$150,000 and over",3,1,"Yes","No difficulty",70,0,0,0,225,105,45,0,0,0,0,0,160,0,180,85,570,540,30,0,45,0,0,105
"20160302161346","Vermont",49,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, state","No answer","Full time",50,"$150,000 and over",3,1,"Yes","No difficulty",95,0,0,0,0,180,60,0,0,0,15,0,540,0,30,100,420,390,30,0,60,0,0,180
"20160504160142","Tennessee",44,"Male","Native, Born in USA","Divored","Non-Veteran","No","Unemployed, Looking","No answer","No answer","No answer","No answer",NA,"$10,000 to $12,499",6,2,"Yes","Has difficulty",60,0,0,0,0,500,20,0,0,0,0,0,0,0,130,100,630,620,10,0,20,0,0,500
"20160403160919","Illinois",39,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",45,"$100,000 to $149,999",4,2,"Yes","No difficulty",95,0,0,0,75,209,193,0,0,0,30,0,2,15,111,55,570,540,30,0,193,0,0,209
"20160504162461","Idaho",61,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$100,000 to $149,999",1,0,"No","No difficulty",8,0,0,0,0,258,75,0,0,0,0,0,619,0,0,30,450,450,0,0,75,0,0,258
"20160807161678","Wisconsin",29,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",20,"$75,000 to $99,999",3,1,"Yes","No difficulty",30,0,0,0,60,840,0,0,0,0,0,0,0,0,100,30,380,380,0,0,0,0,0,840
"20161212161694","Minnesota",62,"Female","Native, Born in USA","Never married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"$7,500 to $9,999",1,0,"No","Has difficulty",0,0,0,0,0,280,30,0,0,0,0,0,0,0,0,440,600,540,60,0,30,0,0,280
"20160706161133","Indiana",64,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"$35,000 to $39,999",2,0,"No","No difficulty",100,0,0,0,0,415,30,0,15,0,150,0,0,0,30,320,380,350,30,0,30,0,0,415
"20160504161179","North Carolina",60,"Female","Native, Born in USA","Divored","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$30,000 to $34,999",2,0,"No","No difficulty",60,0,0,0,0,395,20,0,0,240,0,0,0,5,0,30,690,540,150,0,20,0,0,395
"20160908162373","Virginia",56,"Male","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",45,"$60,000 to $74,999",1,0,"No","No difficulty",75,0,0,0,30,60,30,0,5,0,60,0,660,0,0,250,270,230,40,0,30,0,0,60
"20160201161034","Texas",49,"Male","Foreign born, US citizen","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$100,000 to $149,999",1,0,"No","No difficulty",140,0,0,0,0,30,90,0,0,0,0,300,445,0,0,30,405,285,120,0,90,240,60,30
"20160605160664","Oregon",57,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Self-employed, unincorporated","No answer","Full time",35,"$75,000 to $99,999",2,0,"No","No difficulty",0,0,0,0,0,570,60,0,0,0,0,0,0,0,0,240,570,570,0,0,60,0,0,570
