"Person","DataYear","Country","Region","Gender","Age_years","Handed","Height_cm","Footlength_cm","Armspan_cm","Languages_spoken","Travel_to_school","Travel_time_to_school","Reaction_time","Score_in_memory_game","Favourite_physical_activity","Importance_reducing_pollution","Importance_recycling_rubbish","Importance_conserving_water","Importance_saving_energy","Importance_owning_computer","Importance_internet_access","Left_Footlength_cm","Longer_foot","Index_fingerlength_mm","Ring_fingerlength_mm","Longer_finger_lefthand","Birth_month","Favorite_season","Allergies","Vegetarian","Favorite_food","Beverage","Favorite_school_subject","Sleep_hours_schoolnight","Sleep_hours_non_schoolnight","Home_occupants","Home_internet_access","Communication_with_friends","Text_messages_sent_yesterday","Text_messages_received_yesterday","Activities_hanging_out_with_friends_hours","Activities_talking_on_phone_hours","Activities_doing_homework_hours","Activities_doing_things_with_family_hours","Activities_outdoor_activities_hours","Activities_video_games_hours","Activities_social_websites_hours","Activities_texting_messaging_hours","Activities_computer_use_hours","Activities_Watching_TV_Hours","Activities_paid_work_hours","Activities_work_at_home_hours","Schoolwork_pressure","Planned_education_level","Favorite_music","Superpower","Preferred_status","Role_model_type","Charity_donation"
785,2013,"USA","RI","Male",12,"Left-Handed",151,23,146,2,"Car",3,0.38,40,"Basketball",738,825,518,618,999,1000,24,"Left foot",72,77,"Ring finger","April","Summer","Yes","No","Poultry","Water","Physical education",9,7,6,"Yes - dial-up connection","Text messaging",4,6,5,2,6,7,5,3,1,2,2,3,3,2,"Some","Graduate degree","Rap/Hip hop","Fly","Rich","Relative","International aid"
786,2010,"USA","IN","Female",17,"Right-Handed",178,25.6,174,1,"Car",8,0.29,37,"Other",588,872,834,NA,968,952,27,"Left foot",74,77,"Ring finger","January","Spring","No","No","Pizza/Pasta","Water","Music",7,11,3,"Yes - broadband connection","Text messaging",30,40,17,2,15,10,0,1,4,8,6,8,7,2,"A lot","Graduate degree","Pop","Telepathy","Happy","Relative","International aid"
787,2015,"USA","CA","Male",13,"Left-Handed",190,28.26,190,2,"Car",10,0.28,41,"Soccer",1000,898,1000,995,1000,1000,28,"Same length",70,79,"Ring finger","November","Summer","No","No","Meat","Juice","Physical education",7,5,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,85,1,3,10,20,15,50,0,30,5,0,2,"Some","Some college","Rap/Hip hop","Invisibility","Rich","Sports person","Arts, culture, sports"
788,2013,"USA","PA","Male",16,"Right-Handed",179,26,178,1,"Car",7,0.56,45,"Soccer",300,600,700,700,750,999,26,"Same length",104.1,103.2,"Index finger","January","Summer","No","No","Pizza/Pasta","Water","Mathematics and statistics",8,9,4,"Yes - broadband connection","Text messaging",30,30,25,1,10,10,30,1,1,1,2,5,10,1,"Some","Graduate degree","Country","Freeze time","Healthy","Coach or club leader","Arts, culture, sports"
789,2015,"USA","IN","Male",17,"Left-Handed",194,30,195,1,"Car",8,0.32,52,"Basketball",406,508,91,0,524,1000,31,"Left foot",110,102,"Index finger","February","Summer","No","No","Seafood","Soft drink (caffeinated)","Other",7,10,3,"Yes - other","Text messaging",20,150,25,2,5,3,7,2,1,1,2,2,30,2,"A lot","Graduate degree","Rock and roll","Freeze time","Rich","Community leader or elder","Wildlife, animals"
790,2014,"USA","PA","Male",16,"Right-Handed",172,32,178,1,"Car",7,0.4,46,"Hockey (Ice)",600,700,500,500,500,600,31,"Right foot",108,106,"Index finger","March","Summer","No","No","No favorite","Water","English",7,10,6,"Yes - other","Text messaging",23,24,35,1,10,100,100,7,7,5,10,60,0,20,"A lot","Some college","Other","Freeze time","Happy","Relative","Religious"
791,2015,"USA","VA","Male",17,"Right-Handed",180,27,180,1,"Bus",15,0.38,40,"Rowing",506,309,2,40,950,900,26,"Right foot",76,76,"Same length","July","Summer","No","No","Pizza/Pasta","Water","Computers and technology",7,12,3,"Yes - broadband connection","Text messaging",2,1,7,2,5,15,36,10,0,1,14,0,0,4,"Some","Graduate degree","Country","Freeze time","Happy","Relative","Health"
792,2010,"USA","UT","Female",15,"Right-Handed",170,24,154,2,"Walk",10,0.27,37,"Tennis",700,374,572,NA,513,369,23,"Right foot",101,109,"Ring finger","May","Fall","No","No","Breads/Sandwiches","Soft drink (non-caffeinated)","Music",8,10,4,"Yes - broadband connection","In person",0,0,16,1,3,8,3,5,5,0,5,1,0,4,"Very little","Some college","Techno/Electronic","Freeze time","Famous","Relative","Wildlife, animals"
793,2011,"USA","SC","Female",16,"Right-Handed",165,25,162,1,"Car",15,0.34,37,"Walking/Hiking",750,850,400,NA,900,900,24,"Right foot",85,80,"Index finger","September","Fall","No","No","Breads/Sandwiches","Water","Mathematics and statistics",8,11,4,"Yes - dial-up connection","In person",8,10,50,1,1,15,6,0,4,5,1,6,8,4,"Some","Graduate degree","Country","Invisibility","Happy","Friend","Religious"
794,2015,"USA","WI","Female",13,"Right-Handed",163,25,179,2,"Bus",19,0.42,36,"Dancing",711,540,439,706,765,1000,25,"Same length",90,100,"Ring finger","March","Summer","No","No","Meat","Soft drink (non-caffeinated)","Social studies",8,10,6,"Yes - other","Text messaging",43,130,43,1,3,7,4,0,7,10,30,8,0,3,"A lot","Undergraduate degree","Country","Fly","Happy","Sports person","Health"
795,2013,"USA","WI","Male",13,"Left-Handed",153,24,150,2,"Bus",30,0.47,46,"Basketball",800,500,200,700,100,500,23,"Right foot",82,86,"Ring finger","August","Fall","No","No","Fruit","Powdered drink","Mathematics and statistics",8,10,7,"Yes - broadband connection","In person",0,0,63,2,10,15,25,5,1,1,3,10,4,13,"Some","Graduate degree","Country","Telepathy","Happy","Other","Environment"
796,2013,"USA","RI","Female",12,"Right-Handed",150,20,152,1,"Bus",15,0.34,37,"Gymnastics",1000,1000,1000,1000,380,305,20,"Same length",65,65,"Same length","October","Summer","No","No","Soups","Sports drink","Art",9,11,6,"Yes - other","Text messaging",7,8,4,1,2,0,5,0,5,2,2,2,0,0,"Very little","Graduate degree","Jazz","Telepathy","Healthy","Relative","International aid"
797,2011,"USA","SC","Male",16,"Right-Handed",183,27,180,1,"Car",5,0.3,50,"Football (American)",500,500,400,NA,800,900,26,"Right foot",80,90,"Ring finger","February","Summer","No","No","No favorite","Sports drink","Other",7,NA,2,"Yes - broadband connection","Cell phone",100,100,80,30,2,60,50,0,30,100,30,20,24,12,"None","Graduate degree","Country","Super strength","Happy","Relative","Health"
798,2015,"USA","WI","Male",14,"Right-Handed",172,25,174,2,"Bus",40,0.25,40,"Basketball",139,300,198,380,481,674,25,"Same length",105,110,"Ring finger",NA,"Summer","Yes","No","Meat","Milk","Mathematics and statistics",9,5,3,"Yes - broadband connection","Text messaging",20,100,6,1,0,21,10,12,4,6,35,10,5,7,"Some","Graduate degree","Pop","Freeze time","Famous","Relative","Health"
799,2015,"USA","CO","Female",17,"Right-Handed",165,21,160,2,"Car",15,0.36,41,"Walking/Hiking",600,200,800,900,1000,1000,22,"Left foot",76,78,"Ring finger","October","Fall","Yes","No","Fruit","Water","Other",5,5,4,"No internet connection","Text messaging",100,75,3,1,5,6,2,0,3,2,1,0,37,3,"Some","Graduate degree","Other","Super strength","Healthy","Relative","Religious"
800,2014,"USA","UT","Male",17,"Left-Handed",173,24,169,2,"Car",5,0.29,37,"Basketball",900,900,600,700,300,800,24,"Same length",80,72,"Index finger","July","Summer","Yes","No","Other","Juice","Physical education",7,9,3,"Yes - other","In person",10,5,10,1,4,24,20,2,3,1,2,6,25,1,"Very little","Graduate degree","Other","Invisibility","Happy","Sports person","Health"
801,2013,"USA","MI","Male",16,"Right-Handed",193,28,193,1,"Car",5,0.3,30,"Soccer",503,802,909,599,70,299,28,"Same length",100,100,"Same length","September","Winter","No","No","No favorite","Milk","Music",8,7,6,"Yes - other",NA,44,50,50,3,6,31,2,1,7,36,36,12,31,3,"Some","Some college","Country","Fly",NA,"Relative","Health"
802,2010,"USA","DC","Female",16,"Right-Handed",157,24,163,1,"Walk",30,0.48,52,"Baseball/Softball",626,750,829,NA,535,594,23,"Right foot",95,102,"Ring finger","October","Spring","No","No","Fruit","Soft drink (caffeinated)","Art",6,6,3,"Yes - broadband connection","Cell phone",200,250,2,5,1,1,1,5,5,20,10,1,2,2,"Some","High school","Pop","Telepathy","Happy","Friend","Education/Youth development"
803,2013,"USA","SC","Male",17,"Right-Handed",174,28,163,1,"Car",10,0.7,53,"Baseball/Softball",0,0,0,0,500,700,28,"Same length",70,72,"Ring finger","August","Spring","No","No","Meat","Soft drink (caffeinated)","History",8,11,4,"Yes - broadband connection","Text messaging",250,250,10,2,0,6,20,0,15,48,15,1,0,5,"None","Some college","Country","Telepathy","Happy","Relative","Other"
804,2012,"USA","PA","Male",17,"Left-Handed",176,26,182,1,"Car",3,0.32,37,"Other",550,800,300,100,600,900,27,"Left foot",105,105,"Same length","March","Spring","No","No","Pizza/Pasta","Water","Mathematics and statistics",6,7,5,"Yes - broadband connection","Text messaging",39,36,8,1,16,6,30,0,5,1,10,4,0,1,"Some","Graduate degree","Techno/Electronic","Invisibility","Happy","Relative","Health"
805,2014,"USA","MN","Male",17,"Right-Handed",183,28,191,1,"Car",5,0.44,55,"Baseball/Softball",900,500,1000,800,100,101,27,"Right foot",76,88,"Ring finger","July","Winter","Yes","No","No favorite","Water","Physical education",8,9,5,"Yes - broadband connection","In person",2,8,10,2,5,5,14,0,2,4,1,10,5,5,"Some","Graduate degree","Pop","Fly","Healthy","Religious figure","Religious"
806,2015,"USA","NC","Female",17,"Right-Handed",180,25,179,1,"Car",8,0.42,28,"Soccer",727,604,781,727,882,882,25,"Same length",76,64,"Index finger","January","Summer","No","No","Rice/Noodle dishes","Water","Other",5,8,3,"Yes - dial-up connection","Text messaging",26,60,2,1,20,1,1,0,5,8,25,0,15,10,"A lot","Graduate degree","Gospel","Invisibility","Happy","Friend","Religious"
807,2012,"USA","CA","Male",17,"Ambidextrous",173,29,173,3,"Car",10,0.33,50,"Running/Jogging",444,449,626,775,984,647,29,"Same length",80,90,"Ring finger","May","Winter","No","No","Rice/Noodle dishes","Water","Computers and technology",8,5,2,"Yes - broadband connection","Text messaging",13,18,5,0,15,5,14,0,2,3,25,2,0,0,"A lot","Graduate degree","Other","Freeze time","Healthy","Musician or singer","Education/Youth development"
808,2012,"USA","SC","Female",16,"Right-Handed",162,24.5,167,1,"Car",25,0.19,59,"Running/Jogging",200,550,200,NA,900,900,25,"Same length",74,72,"Index finger","January","Winter","No","No","Fruit","Water","Mathematics and statistics",8,10,4,"Yes - dial-up connection","Text messaging",0,0,3,0,1,7,2,0,1,0,2,26,0,4,"Some","Undergraduate degree","Other","Telepathy","Happy","Friend","International aid"
809,2014,"USA","IN","Female",17,"Right-Handed",163,25,164,3,"Car",5,0.44,53,"Swimming",500,500,1000,1000,1000,1000,25,"Same length",92,98,"Ring finger","May","Fall","No","No","Pizza/Pasta","Soft drink (caffeinated)","Science",5,5,5,"Yes - broadband connection","Internet chat or instant messaging",3,3,8,10,20,2,0,0,20,10,100,0,0,3,"Some","Graduate degree","Pop","Freeze time","Happy","Other","Health"
810,2012,"USA","NC","Male",16,"Right-Handed",180,25,158,1,"Car",11,0.38,32,"Other",374,610,545,374,583,807,25,"Same length",NA,NA,NA,"January","Winter","Yes","No","Rice/Noodle dishes","Sports drink","Physical education",8,9,2,"Yes - broadband connection","In person",0,0,1,0,2,2,21,1,0,0,3,10,15,2,"Some","Graduate degree","Pop",NA,"Healthy","Coach or club leader","Health"
811,2013,"USA","CA","Male",17,"Right-Handed",172,26,164,3,"Bus",45,0.39,33,"Other",524,455,668,690,786,984,25,"Right foot",80,90,"Ring finger","November","Summer","No","No","Meat","Water","Other",6,10,3,"Yes - broadband connection","Cell phone",20,24,4,2,3,1,2,4,7,1,11,0,0,0,"Some","Graduate degree","Rap/Hip hop","Telepathy","Happy","Business person","Wildlife, animals"
812,2015,"USA","WI","Male",17,"Right-Handed",178,26,176,1,"Car",12,0.32,71,"Cycling",600,300,450,500,900,1000,26,"Same length",85,82,"Index finger","October","Winter","Yes","No","Meat","Milk","Computers and technology",5,7,6,"Yes - broadband connection","Text messaging",25,30,4,5,16,30,10,0,1,10,35,1,30,0,"Very little","Graduate degree","Rock and roll","Freeze time","Happy","Business person","Environment"
813,2015,"USA","MS","Female",14,"Left-Handed",168,24,168,1,"Car",10,0.41,76,"Athletics",1000,700,900,900,700,700,23,"Right foot",65,60,"Index finger","June","Spring","No","No","Salads","Water","Mathematics and statistics",6,8,3,"Yes - broadband connection","Text messaging",15,20,8,1,5,9,3,2,8,7,8,8,3,5,"Some","Graduate degree","Pop","Super strength","Happy","Teacher","Education/Youth development"
814,2012,"USA","WA","Female",17,"Left-Handed",177,26,165,1,"Car",15,0.27,38,"Dancing",578,775,524,513,348,709,26,"Left foot",70,75,"Ring finger","February","Spring","Yes","No","Seafood","Juice","Music",5,9,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,100,15,2,9,28,10,7,21,63,25,14,0,2,"Some","Graduate degree","Punk rock","Telepathy","Happy","Relative","Environment"
815,2013,"USA","IL","Male",11,"Right-Handed",142,23,146,3,"Bus",16,0.52,45,"Swimming",1000,1000,1000,1000,750,750,24,"Left foot",86,92,"Ring finger","August","Summer","Yes","No","Salads","Water","Geography",9,10,5,"Yes - broadband connection","In person",0,0,35,1,5,8,21,2,0,1,7,12,0,2,"Very little","Graduate degree","Rap/Hip hop","Freeze time","Happy","Sports person","Health"
816,2013,"USA","MI","Female",17,"Right-Handed",163,23,163,1,"Car",10,0.34,40,"Soccer",1000,1000,1000,1000,1000,1000,23,"Same length",64,64,"Same length","June","Fall","Yes","No","No favorite","Water","Languages",4,12,5,"Yes - broadband connection","In person",0,0,3,0,3,6,1,1,6,0,12,12,0,3,"A lot","Graduate degree","Other","Telepathy","Happy","Actor","Wildlife, animals"
817,2012,"USA","PA","Female",10,"Left-Handed",136,21,134,2,"Car",15,0.6,57,"Dancing",701,610,818,909,316,476,22,"Left foot",90,80,"Index finger","May","Spring","No","No","Pizza/Pasta","Water","Art",10,9,4,"Yes - other","In person",1,2,48,1,8,62,5,0,0,1,2,14,1,1,"Some","Graduate degree","Pop","Freeze time","Happy","Relative","International aid"
818,2012,"USA","CA","Female",17,"Right-Handed",165,24,169,3,"Car",7,0.29,38,"Running/Jogging",1000,890,580,790,550,830,24,"Same length",73,75,"Ring finger","November","Spring","No","No","Fruit","Tea","Science",5,8,4,"Yes - dial-up connection","In person",14,12,10,1,12,20,5,0,20,5,24,14,0,8,NA,"Graduate degree","Other","Invisibility","Healthy","Community leader or elder","Health"
819,2013,"USA","CA","Female",16,"Right-Handed",168,21.6,153,3,"Car",7,0.46,55,"Tennis",800,800,900,700,1000,1000,22,"Left foot",110,75,"Index finger","October","Fall","Yes","Yes","Pizza/Pasta","Water","Science",6,9,2,"Yes - broadband connection","Text messaging",50,45,5,2,20,15,3,0,6,7,15,4,0,5,"A lot","Graduate degree","Rhythm and blues (R&B)","Telepathy","Happy","Relative","Health"
820,2013,"USA","SC","Female",17,"Right-Handed",174,25.5,168,1,"Car",7,0.52,32,"Basketball",487,583,390,390,1000,1000,26,"Same length",100,98,"Index finger","October","Spring","No","No","Seafood","Water","Mathematics and statistics",8,9,5,"Yes - broadband connection","Text messaging",150,150,8,2,3,10,10,0,10,20,12,6,5,5,"A lot","Graduate degree","Pop","Freeze time","Happy","Teacher","Education/Youth development"
821,2015,"USA","CA","Female",12,"Right-Handed",165,26,150,1,"Car",8,0.86,57,"Walking/Hiking",500,500,500,300,1000,1000,26,"Same length",80,70,"Index finger","November","Spring","No","No","Seafood","Water","Music",11,13,4,"Yes - other","Internet chat or instant messaging",26,20,7,5,1,18,5,20,22,18,80,50,0,15,"A lot","Graduate degree","Pop","Freeze time","Famous","Actor","Other"
822,2015,"USA","CT","Male",17,"Right-Handed",182,24,184,3,"Walk",0,0.31,68,"Tennis",704,170,5,829,1000,1000,25,"Left foot",65,60,"Index finger","March","Summer","No","No","Seafood","Water","Mathematics and statistics",8,10,3,"Yes - broadband connection","Text messaging",12,18,15,1,20,2,20,5,7,5,20,2,0,2,"A lot","Graduate degree","Rap/Hip hop","Telepathy","Happy","Business person","Education/Youth development"
823,2013,"USA","NC","Female",16,"Right-Handed",165,23,161,2,"Car",10,0.26,32,"Soccer",235,508,374,647,342,936,24,"Left foot",72,75,"Ring finger","August","Summer","Yes","No","Desserts","Water","Mathematics and statistics",7,10,4,"Yes - broadband connection","Text messaging",75,75,6,0,12,4,12,0,1,3,3,3,0,1,"A lot","Graduate degree","Pop","Fly","Happy","Relative","Health"
824,2012,"USA","SC","Female",17,"Right-Handed",173,26,168,2,"Car",10,0.4,33,"Athletics",600,800,800,800,500,400,25,"Right foot",85,85,"Same length","September","Fall","No","No","Seafood","Water","English",7,8,6,"Yes - other","Cell phone",30,20,2,3,5,10,3,0,10,20,10,12,0,8,"A lot","Graduate degree","Country","Telepathy","Happy","Relative","Health"
825,2011,"USA","NM","Female",16,"Right-Handed",166,23,166,3,"Bus",20,0.31,38,"None",1000,225,775,NA,503,503,23,"Same length",83,86,"Ring finger","January","Summer","Yes","No","Meat","Water","Music",9,7,3,"Yes - broadband connection","Text messaging",16,19,7,1,3,35,0,8,0,35,28,35,6,5,"Some","Graduate degree","Gospel","Telepathy","Happy","Relative","Arts, culture, sports"
826,2012,"USA","OH","Female",10,"Right-Handed",136,20,132,2,"Car",10,0.46,67,"Soccer",1000,1000,1000,1000,500,500,19,"Right foot",90,90,"Same length","September","Summer","No","No","Desserts","Water","English",10,9,6,"Yes - broadband connection","In person",0,0,12,1,5,9,3,1,1,1,1,1,2,2,"A lot","Graduate degree","Pop","Fly","Famous","Friend","International aid"
827,2013,"USA","RI","Male",11,"Ambidextrous",156,25,157,1,"Bus",5,0.5,45,"Baseball/Softball",1000,701,818,561,160,299,24,"Right foot",80,70,"Index finger","September","Summer","No","No","Meat","Milk","Mathematics and statistics",10,10,2,"Yes - broadband connection","Internet chat or instant messaging",0,0,30,3,10,4,12,5,0,1,0,10,0,1,"Very little","Graduate degree","Gospel","Fly","Happy","Sports person","Health"
828,2015,"USA","AZ","Male",17,"Right-Handed",193,29,196,2,"Car",27,0.4,27,"Football (American)",700,400,400,500,400,1000,29,"Same length",89,77,"Index finger","November","Winter","No","No","Meat","Water","Art",6,5,3,"Yes - broadband connection","Other",4,150,20,1,5,36,18,4,2,15,15,10,0,2,"Some","Graduate degree","Rap/Hip hop","Fly","Happy","Sports person","Wildlife, animals"
829,2015,"USA","CA","Female",17,"Right-Handed",175,25,175,1,"Car",10,0.34,39,"Other",781,503,1000,920,112,118,25,"Same length",100,80,"Index finger","March","Winter","Yes","No","No favorite","Water","Languages",7,10,3,"Yes - broadband connection","In person",50,50,40,2,15,2,1,0,5,10,20,10,0,3,"Some","Graduate degree","Reggae","Telepathy","Happy","Musician or singer","Environment"
830,2014,"USA","NJ","Female",17,"Right-Handed",170,22,165,1,"Car",25,0.35,32,"Other",0,500,200,300,900,1000,22,"Same length",60,70,"Ring finger","April","Spring","Yes","No","No favorite","Water","Other",8,12,4,"Yes - broadband connection","Text messaging",100,100,19,2,5,5,5,0,10,3,3,10,0,3,"Some","Graduate degree","Rap/Hip hop","Telepathy","Happy","Relative","Health"
831,2012,"USA","OH","Male",17,"Left-Handed",165,20,150,2,"Car",6,0.36,33,"Walking/Hiking",900,750,500,750,950,950,25,"Left foot",90,80,"Index finger","October","Fall","No","No","Pizza/Pasta","Coffee","Geography",8,10,3,"Yes - broadband connection","Text messaging",30,28,15,0,12,2,5,1,3,2,14,3,0,1,"A lot","Graduate degree","Pop","Invisibility","Happy","Teacher","Arts, culture, sports"
832,2011,"USA","HI","Female",15,"Right-Handed",150,23,156,1,"Car",50,0.33,48,"Athletics",578,444,283,NA,722,861,23,"Same length",70,70,"Same length","January","Summer","No","No","Rice/Noodle dishes","Juice","English",6,12,4,"Yes - other","Text messaging",200,200,7,3,15,30,2,1,10,15,50,4,0,2,"A lot","Graduate degree","Pop","Telepathy","Happy","Relative","Education/Youth development"
833,2012,"USA","IL","Female",17,"Right-Handed",162,23.5,159,1,"Car",10,0.39,27,"Baseball/Softball",818,765,936,786,43,11,24,"Left foot",75,70,"Index finger","May","Spring","Yes","No","Pizza/Pasta","Milk","History",7,10,4,"Yes - other","In person",100,100,12,1,8,2,20,0,3,35,1,2,0,2,"Some","Graduate degree","Country","Freeze time","Happy","Relative","Wildlife, animals"
834,2014,"USA","WI","Male",14,"Right-Handed",175,28,181,1,"Bus",15,0.32,44,"Football (American)",722,578,631,866,513,246,28,"Same length",90,80,"Index finger","July","Summer","No","No","No favorite","Other","Computers and technology",4,8,8,"Yes - other","Myspace, Facebook, other social networking sites, or blog",90,80,0,6,2,12,7,17,2,2,2,7,6,3,"Very little","Some college","Rap/Hip hop","Freeze time","Famous","Relative","Education/Youth development"
835,2014,"USA","MI","Female",17,"Right-Handed",170,25,161,1,"Car",3,0.38,42,"Dancing",558,20,11,742,800,1000,24,"Right foot",70,66,"Index finger","October","Winter","No","No","Breads/Sandwiches","Tea","Art",8,11,3,"Yes - broadband connection","In person",6,1,15,0,1,7,0,24,1,1,80,8,0,3,"Very little","Graduate degree","Classical","Telepathy","Happy","Other","Arts, culture, sports"
836,2012,"USA","TX","Female",17,"Right-Handed",165,25,171,2,"Bus",30,0.51,43,"Other",600,500,500,400,400,400,24,"Right foot",75,85,"Ring finger","September","Spring","Yes","No","No favorite","Water","English",7,8,4,"Yes - other","In person",30,30,2,2,10,1,0,0,0,1,3,4,0,1,"A lot","Graduate degree","Gospel","Freeze time","Happy","Religious figure","Religious"
837,2015,"USA","CA","Female",17,"Right-Handed",132,21.5,110,2,"Walk",7,0.59,44,"Dancing",1000,700,1000,700,700,700,20,"Right foot",60,60,"Same length","May","Winter","No","No","Pizza/Pasta","Powdered drink","Mathematics and statistics",8,6,5,"Yes - other","E-mail",30,35,6,10,5,3,3,1,10,10,10,5,1,4,"Some","Graduate degree","Rap/Hip hop","Freeze time","Healthy","Relative","Health"
838,2012,"USA","PA","Male",16,"Right-Handed",180,27,181,1,"Car",8,0.36,31,"Other",214,301,247,175,1000,1000,27,"Same length",100,108,"Ring finger","February","Summer","Yes","No","Pizza/Pasta","Soft drink (caffeinated)","Mathematics and statistics",5,9,5,"Yes - broadband connection","Internet chat or instant messaging",45,55,10,5,15,5,15,25,5,10,20,11,0,5,"Very little","Graduate degree","Pop","Freeze time","Happy","Musician or singer","Health"
839,2013,"USA","KY","Female",11,"Right-Handed",156,23,152,1,"Car",15,0.44,46,"Baseball/Softball",1000,1000,1000,1000,225,476,24,"Left foot",70,80,"Ring finger","March","Summer","No","No","Meat","Sports drink","History",9,10,4,"No internet connection","Text messaging",5,4,10,1,1,10,4,1,2,2,2,0,0,3,"Very little","Graduate degree","Rap/Hip hop","Fly","Happy","Relative","Wildlife, animals"
840,2014,"USA","PA","Female",17,"Right-Handed",163,26,165,1,"Walk",22,0.31,44,"Walking/Hiking",700,600,500,600,800,1000,24,"Right foot",76,76,"Same length","August","Fall","No","No","Pizza/Pasta","Coffee","English",5,8,4,"Yes - broadband connection","In person",4,6,4,0,20,4,0,0,3,1,10,5,12,8,"Some","Graduate degree","Punk rock","Freeze time","Happy","Musician or singer","Environment"
841,2014,"USA","MD","Male",13,"Right-Handed",145,24,154,1,"Bus",30,0.36,63,"Basketball",950,1000,700,1000,1000,950,25,"Left foot",70,65,"Index finger","January","Spring","Yes","No","Meat","Juice","Computers and technology",7,NA,4,"Yes - broadband connection","Text messaging",5,5,90,20,40,100,95,100,5,50,50,60,0,2,"A lot","Graduate degree","Rap/Hip hop","Freeze time","Rich","Business person","Health"
842,2015,"USA","CA","Female",17,"Right-Handed",164,24,154,2,"Bus",40,0.51,47,"Swimming",689,700,345,200,770,200,23,"Right foot",NA,NA,NA,"November","Summer","No","No","Desserts","Water","Computers and technology",6,9,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,20,0,1,18,4,0,10,13,12,35,0,0,7,"Some","Graduate degree","Jazz","Telepathy","Rich","Friend","Wildlife, animals"
843,2014,"USA","CA","Male",17,"Right-Handed",183,26,191,1,"Car",20,0.3,38,"Soccer",500,500,300,300,500,500,26,"Same length",75,90,"Ring finger","April","Summer","Yes","No","Meat","Water","History",6,9,3,"Yes - broadband connection","Text messaging",8,8,20,25,10,50,10,10,6,2,25,25,0,15,"A lot","Graduate degree","Rap/Hip hop","Telepathy","Rich","Sports person","Education/Youth development"
844,2015,"USA","TX","Female",9,"Right-Handed",142,22,141,2,"Car",3,0.43,57,"Swimming",930,807,995,827,668,620,21,"Right foot",77,82,"Ring finger","July","Summer","No","No","Rice/Noodle dishes","Water","Physical education",10,8,4,"Yes - other","Telephone",0,0,1,1,3,4,2,1,1,0,2,1,1,1,"Some","Graduate degree","Pop","Freeze time","Happy","Other","Wildlife, animals"
845,2014,"USA","NC","Female",16,"Right-Handed",166,25,171,2,"Car",12,0.31,35,"Dancing",652,818,658,561,305,460,25,"Same length",92,90,"Index finger","March","Fall","Yes","No","No favorite","Water","Science",7,12,4,"Yes - broadband connection","Text messaging",15,20,8,1,15,8,12,0,5,2,2,6,0,2,"A lot","Graduate degree","Other","Telepathy","Happy","Other","Health"
846,2015,"USA","CA","Male",16,"Right-Handed",163,26,130,2,"Bus",15,0.38,43,"Table Tennis",700,500,800,500,1000,1000,26,"Same length",90,100,"Ring finger","October","Summer","Yes","No","Rice/Noodle dishes","Water","Other",6,10,5,"Yes - other","Internet chat or instant messaging",7,5,5,0,4,0,0,35,5,10,35,0,10,2,"Some","Graduate degree","Rap/Hip hop","Freeze time","Happy","Business person","Wildlife, animals"
847,2012,"USA","TX","Male",17,"Right-Handed",183,30.48,183,2,"Car",12,0.2,36,"Football (American)",900,753,722,800,750,845,30,"Right foot",80,82,"Ring finger","November","Winter","No","No","Meat","Water","History",8,6,3,"Yes - broadband connection","In person",100,104,36,4,3,5,30,3,30,30,10,6,36,2,"Some","Graduate degree","Rap/Hip hop","Telepathy","Happy","Relative","Environment"
848,2012,"USA","WA","Male",17,"Right-Handed",182,29,177,1,"Car",15,0.25,46,"None",500,500,500,500,1000,1000,28,"Right foot",82,75,"Index finger","February","Summer","Yes","No","Fruit","Milk","Other",8,5,5,"Yes - broadband connection","Text messaging",45,50,10,1,2,3,3,8,12,5,18,4,0,1,"Very little","Graduate degree","Jazz","Freeze time","Rich","Actor","Wildlife, animals"
849,2014,"USA","WI","Male",12,"Ambidextrous",142,19,142,1,"Walk",16,0.4,43,"Football (American)",1000,1000,1000,1000,1000,1000,19,"Same length",60,60,"Same length","August","Summer","Yes","No","Pizza/Pasta","Water","History",7,5,4,"Yes - broadband connection","Text messaging",110,213,8,1,1,10,9,10,1,3,2,4,1,1,"Very little","Graduate degree","Country","Super strength","Happy","Other","Wildlife, animals"
850,2013,"USA","GA","Female",12,"Right-Handed",168,26,174,1,"Bus",15,0.31,47,"Swimming",900,1000,600,1000,1000,800,26,"Same length",80,90,"Ring finger","February","Summer","No","No","Rice/Noodle dishes",NA,"Science",8,6,7,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,22,24,4,2,5,7,7,3,5,5,5,6,4,"Some","Graduate degree","Rap/Hip hop","Invisibility","Happy","Musician or singer","Arts, culture, sports"
851,2012,"USA","IA","Male",17,"Right-Handed",177,19.05,174,2,"Car",10,0.38,40,"Soccer",700,700,700,1000,1000,1000,30,"Left foot",75,75,"Same length","February","Winter","No","No","Meat","Soft drink (caffeinated)","Mathematics and statistics",8,NA,8,"No internet connection","Myspace, Facebook, other social networking sites, or blog",30,35,4,1,2,8,4,6,1,1,4,8,8,2,"Some","Graduate degree","Pop","Freeze time","Healthy","Actor","Religious"
