"Person","DataYear","Country","Region","Gender","Age_years","Handed","Height_cm","Footlength_cm","Armspan_cm","Languages_spoken","Travel_to_school","Travel_time_to_school","Reaction_time","Score_in_memory_game","Favourite_physical_activity","Importance_reducing_pollution","Importance_recycling_rubbish","Importance_conserving_water","Importance_saving_energy","Importance_owning_computer","Importance_internet_access","Left_Footlength_cm","Longer_foot","Index_fingerlength_mm","Ring_fingerlength_mm","Longer_finger_lefthand","Birth_month","Favorite_season","Allergies","Vegetarian","Favorite_food","Beverage","Favorite_school_subject","Sleep_hours_schoolnight","Sleep_hours_non_schoolnight","Home_occupants","Home_internet_access","Communication_with_friends","Text_messages_sent_yesterday","Text_messages_received_yesterday","Activities_hanging_out_with_friends_hours","Activities_talking_on_phone_hours","Activities_doing_homework_hours","Activities_doing_things_with_family_hours","Activities_outdoor_activities_hours","Activities_video_games_hours","Activities_social_websites_hours","Activities_texting_messaging_hours","Activities_computer_use_hours","Activities_Watching_TV_Hours","Activities_paid_work_hours","Activities_work_at_home_hours","Schoolwork_pressure","Planned_education_level","Favorite_music","Superpower","Preferred_status","Role_model_type","Charity_donation"
501,2015,"USA","MI","Female",17,"Right-Handed",163,22.86,152,1,"Car",8,0.4,47,"Other",500,600,100,200,900,1000,23,"Same length",76.2,75,"Index finger","June","Summer","No","No","Fruit","Water","Art",8,9,5,"Yes - other","Text messaging",300,300,5,1,5,3,15,2,2,10,2,5,0,0,"A lot","Undergraduate degree","Pop","Telepathy","Happy","Relative","Education/Youth development"
502,2011,"USA","GA","Male",12,"Right-Handed",161,24,168,1,"Bus",30,0.53,54,"Swimming",952,1000,914,NA,965,973,23,"Right foot",70,63,"Index finger","September","Fall","No","No","Meat","Sports drink","Physical education",9,8,4,"Yes - broadband connection","In person",0,0,8,1,7,8,9,4,3,2,5,4,2,2,"Some","Graduate degree","Pop","Fly","Happy","Doctor or nurse","Education/Youth development"
503,2014,"USA","WI","Female",17,"Right-Handed",170,23,173,1,"Car",20,0.44,37,"Other",900,800,800,850,500,1000,23,"Same length",75,77,"Ring finger","June","Summer","Yes","No","Rice/Noodle dishes","Water","Mathematics and statistics",7,11,4,"Yes - other","In person",45,250,1,7,11,12,8,10,2,3,6,5,4,9,"Some","Graduate degree","Rap/Hip hop","Invisibility","Rich","Relative","Wildlife, animals"
504,2015,"USA","CA","Female",16,"Right-Handed",135,21,135,2,"Bus",45,0.3,48,"Basketball",1000,1000,1000,1000,500,1000,22,"Left foot",66.5,66,"Index finger","October","Winter","Yes","No","Soups","Tea","Science",7,9,4,"Yes - broadband connection","Text messaging",300,300,8,3,8,3,0,0,6,10,2,4,10,2,"Some","Undergraduate degree","Rap/Hip hop","Invisibility","Happy","Relative","International aid"
505,2015,"USA","MI","Female",17,"Right-Handed",168,24,170,1,"Car",9,0.32,42,"Baseball/Softball",80,116,520,200,900,990,25,"Left foot",70,80,"Ring finger","May","Spring","No","No","No favorite","Soft drink (caffeinated)","Science",7,9,3,"Yes - broadband connection","Text messaging",100,200,10,10,5,10,30,5,30,30,20,30,30,5,"Very little","Graduate degree","Rap/Hip hop","Telepathy","Rich","Sports person","Wildlife, animals"
506,2015,"USA","FL","Male",11,"Right-Handed",155,20,155,2,"Car",6,0.28,66,"None",925,770,727,615,203,171,21,"Left foot",60,60,"Same length","November","Winter","No","No","Other","Soft drink (caffeinated)","Science",9,10,3,"Yes - broadband connection","In person",0,0,7,4,5,5,1,6,1,2,4,4,0,1,"Some","High school","Pop","Invisibility","Happy","Business person","Wildlife, animals"
507,2015,"USA","NC","Male",17,"Right-Handed",177,26,176,2,"Car",40,0.3,44,"Soccer",600,300,700,700,500,750,26,"Same length",82,85,"Ring finger","May","Fall","Yes","No","Pizza/Pasta","Water","Social studies",4,9,4,"Yes - broadband connection","In person",10,10,10,1,45,3,10,10,14,1,30,10,1,5,"A lot","Graduate degree","Other","Invisibility","Happy","Friend","International aid"
508,2013,"USA","SC","Female",17,"Right-Handed",163,23.3,164,1,"Car",15,0.38,43,"Basketball",600,700,800,500,900,800,23,"Left foot",92,94,"Ring finger","June","Summer","Yes","No","Pizza/Pasta","Soft drink (caffeinated)","Languages",6,8,2,"Yes - broadband connection","Text messaging",20,45,10,2,4,1,1,0,1,4,10,20,30,1,"A lot","Graduate degree","Other","Invisibility","Happy","Relative","Arts, culture, sports"
509,2014,"USA","NC","Female",13,"Right-Handed",173,20,153,1,"Bus",45,0.4,54,"Swimming",476,476,465,476,1000,1000,19,"Right foot",70,60,"Index finger","April","Winter","Yes","No","Poultry","Soft drink (caffeinated)","Mathematics and statistics",7,5,2,"Yes - other","Myspace, Facebook, other social networking sites, or blog",80,88,8,2,1,4,0,2,2,2,1,6,0,1,"Some","Graduate degree","Rap/Hip hop","Invisibility","Happy","Relative","Arts, culture, sports"
510,2015,"USA","CO","Male",17,"Right-Handed",180,25,188,1,"Car",15,0.36,34,"Walking/Hiking",1000,1000,1000,1000,0,0,25,"Same length",NA,NA,NA,"December","Winter","Yes","No","No favorite","Water","Science",3,11,6,"Yes - broadband connection","In person",1,1,0,0,10,5,0,5,0,0,6,0,0,0,"Very little","Graduate degree","Heavy metal","Telepathy","Rich","Relative","Wildlife, animals"
