"timestamp","calories","sat_fat","sodium","sugar","carbs","total_fat","healthy_level","serving_size","ingredients","name","salty_sweet"
2013-10-10 09:45:00,60,0,16,8,12,1,"Neither healthy nor unhealthy",4,"Glucose, Sugar, Vegetable Oil","Coffee Candy","Sweet"
2013-10-03 22:29:00,40,0,120,0,15,8,"Neither healthy nor unhealthy",14,"Corn chip, oil, lime","Blue corn tortilla chips","Salty"
2013-10-30 17:36:00,220,2,490,1,27,11,"Neither healthy nor unhealthy",1,"corn, flour, buttermilk","funyuns","Salty"
2013-09-29 19:29:00,90,2,320,1,13,10,"Unhealthy",2,"Enriched corn meal, niacin, & thiamin mononitrate","Hott puffcorn chip","Salty"
2013-10-03 09:28:00,180,2,280,0,17,12,"Slightly Unhealthy",1,"Enriched born meal sulfate niacin thiamin","Hot Cheetos","Salty"
2013-10-14 20:28:00,290,3,440,1,36,11,"Neither healthy nor unhealthy",1,"Wheat flour, white and dark chicken meat, monterrey jack cheese","Chicken and monterrey jack cheese chimichanga","Salty"
2013-09-30 20:21:00,90,0,15,13,22,0,"Unhealthy",2,"Water, natural fruit nance, stabilizer","Nance ice scream","Sweet"
2013-10-27 19:40:00,210,7,30,21,27,11,"Unhealthy",1,"Sugar, wheat flour, nonfat milk","KitKat","Sweet"
2013-10-09 16:02:00,182,1,1669,25,153,15,"Slightly healthy",1,"soup, tomato, canned condensed","soup","Sweet"
2013-09-25 19:03:00,290,2,370,2,36,14,"Unhealthy",1,"Corn, Vegtable oil, Maltodextrin","Flamin' Hot Munchies","Salty"
2013-10-07 09:50:00,160,2,160,0,15,10,"Slightly Unhealthy",1,"Corn oil corn flamin hot","Fritos","Salty"
2013-09-28 17:10:00,60,0,15,16,17,0,"Unhealthy",1,"Water, sugar, lemon juice","Caprisun","Sweet"
2013-09-24 11:56:00,120,0,200,2,21,3,"Unhealthy",10,"dehydrated potatoes, modified food starch, corn oil","Baked Ruffles","Salty"
2013-10-10 10:03:00,130,0,250,34,35,0,"Neither healthy nor unhealthy",1,"Water, High Fructose Corn Syrup, Less Than 0.5% of: Citric Acid,","Powerade","Sweet"
2013-11-01 18:28:00,120,2,390,1,21,3,"Neither healthy nor unhealthy",5,"ferrous.flour.yeast","Saladitas","Salty"
2013-10-03 19:05:00,60,0,15,14,15,0,"Slightly healthy",1,"apple juice  malic acid citric acid","apple berry","Sweet"
2013-10-27 13:52:00,40,0,79,400,345,500,"Slightly Unhealthy",1,"Acesulfame potassium,adipic acid,soy","Gum","Sweet"
2013-10-10 09:22:00,120,140,50,20,80,130,"Neither healthy nor unhealthy",1,"cinnamon.brown sugar poppop","pop tarts","Sweet"
