"timestamp","calories","sat_fat","sodium","sugar","carbs","total_fat","healthy_level","serving_size","ingredients","name","salty_sweet"
2013-10-20 13:51:00,180,5,60,20,25,9,"Slightly Unhealthy",4,"sugar, chocolate, cocoa","buncha crunch","Sweet"
2013-09-28 08:11:00,250,2,580,6,47,1,"Slightly healthy",1,"enriched macaroni, niacin, iron","mac&chesse","Sweet"
2013-10-24 17:12:00,50,90,600,50,400,30,"Unhealthy",1,"Acesulfame potassium adipic","Gum","Sweet"
2013-10-10 10:08:00,420,5,350,30,69,130,"Slightly Unhealthy",1,"Enriched flour, riboflavin ,sugar","Pop tarts","Sweet"
2013-10-24 12:18:00,160,2,250,0,13,100,"Unhealthy",1,"enriched corn meal , vegetable oil , flamin' hot seasoning","Hot cheetos","Salty"
2013-10-02 17:28:00,120,1,110,11,24,3,"Slightly healthy",1,NA,"Nutri grain","Sweet"
2013-10-10 08:28:00,190,4,95,21,25,9,"Unhealthy",1,"Chocolate, skim milk,cocoa butter","Snickers","Sweet"
2013-10-10 09:53:00,420,5,350,30,69,14,"Healthy",2,"enriched flour, iron , vitamin B","pop tarts","Sweet"
2013-10-17 15:22:00,80,0,150,21,21,0,"Neither healthy nor unhealthy",1,"water,high fructose corn syrup,citric acid","powerade","Sweet"
2013-10-17 16:47:00,150,3,70,7,21,6,"Slightly healthy",1,"wheat floursugarvegetable shorteningwater","canellitas","Sweet"
2013-10-25 17:19:00,140,2,280,1,16,8,"Slightly Unhealthy",1,"Enriched corn meal , ferrous sulfate , niacin","Chester's fries flamin hot","Salty"
2013-10-08 08:48:00,160,2,160,0,16,10,"Neither healthy nor unhealthy",2,"corn,corn oil,and salt","fritos","Salty"
2013-10-02 19:03:00,10,0,15,20,27,0,"Neither healthy nor unhealthy",2,"Vitamin A vitamin C calcium","Drums","Salty"
2013-09-29 20:25:00,0,0,0,0,0,0,"Neither healthy nor unhealthy",1,NA,"Trail mic granola bar","Salty"
2013-10-05 15:18:00,230,6,170,13,26,13,"Slightly Unhealthy",2,"ebriched bleached flour,niacin,reduced ironiron","honey buns","Sweet"
2013-09-29 20:19:00,0,0,0,0,0,0,"Neither healthy nor unhealthy",1,"K","Fanta","Sweet"
2013-10-08 08:41:00,80,2,80,20,20,0,"Slightly Unhealthy",3,"water ,high corn syrup citric, acid","fuze berry punch","Sweet"
2013-10-27 11:15:00,210,7,30,21,27,11,"Unhealthy",1,"Sugar, wheat flour, nonfat milk","KitKat","Sweet"
2013-10-04 16:42:00,160,1,325,0,18,9,"Neither healthy nor unhealthy",2,"Corn Starch, Flour, Corn","Tostadas","Salty"
2013-10-27 16:40:00,160,21,480,2,43,460,"Unhealthy",1,"Potatoes,vegetable oil, salt","Lays","Salty"
2013-10-17 09:28:00,250,3,490,1,28,14,"Unhealthy",1,"Enriched Corn MealVegetable oilDried potatoes","Chester's Hot Fries","Salty"
2013-10-25 13:00:00,140,2,280,1,16,8,"Unhealthy",5,"EnrichedCorn meal Sulfate, Niacin","Chesters Friea Flamin Hit","Salty"
2013-09-30 16:34:00,100,0,10,24,25,0,"Neither healthy nor unhealthy",3,"Filtered water, high fructose corn syrup, pear juice from concentrate","Arizona","Sweet"
2013-10-09 22:49:00,0,0,0,20,0,0,"Slightly healthy",5,"Vitamin A C and calcium 0","manzanilla","Sweet"
2013-10-11 12:40:00,170,2,120,12,25,60,"Neither healthy nor unhealthy",15,"sugar, palm oil,high oleic canola","golden oreo","Sweet"
2013-10-08 08:44:00,220,5,0,30,45,5,"Slightly Unhealthy",2,"sugar,corn syrup,hydrogenated","starburst","Sweet"
2013-10-13 12:10:00,100,0,140,1,20,2,"Healthy",18,"wheets,oat,grain","Cheerios","Sweet"
2013-09-29 20:22:00,0,0,0,0,0,0,"Neither healthy nor unhealthy",1,NA,"Sun chips","Salty"
2013-10-10 09:47:00,170,2,280,1,15,12,"Healthy",1,"enriched corn meal vegetable oil cheese seasoning","cheetos","Salty"
2013-09-16 19:28:00,150,1,200,0,15,9,"Unhealthy",1,"Mai's Entero, Aceite de Maiz, Condimento Turbos Flamas (Maltodextrina [De Maiz]","Turbos","Salty"
2013-10-23 15:43:00,200,0,65,55,0,0,"Slightly Unhealthy",1,"carbonated waterhigh fructosecorn syrup","Coca-Cola","Sweet"
2013-10-23 20:50:00,210,7,30,21,27,11,"Slightly Unhealthy",2,"Sugar, wheat flour, non-fat milk","KitKat","Sweet"
2013-10-22 07:13:00,140,2,140,12,21,6,"Slightly Unhealthy",2,"Unbleached enriched flower , wheat flour, reduced iron","Mini Oreo - Bite size","Sweet"
2013-10-10 10:06:00,140,1,200,0,16,8,"Neither healthy nor unhealthy",1,"0corn,vegetable oil, salt","doritos","Salty"
2013-11-10 16:23:00,220,0,0,15,0,16,"Slightly Unhealthy",1,"Sugar cocoa butter and skim milk","Ferrero rocher","Sweet"
2013-10-04 16:53:00,300,7,1060,2,38,13,"Slightly Unhealthy",1,"Enriched Wheat Flour, Reduced Iron, Thiamine Mononitrate","Cup of Noodles","Salty"
2013-09-29 20:27:00,0,0,0,0,0,0,"Neither healthy nor unhealthy",1,NA,"Diet green tea","Sweet"
2013-10-24 16:07:00,160,1,270,1,15,10,"Slightly Unhealthy",1,"Corn corn oil and salt","Fritos chilli cheese","Salty"
2013-09-24 21:17:00,130,0,190,4,29,0,"Healthy",2,"Rice,sugar,salt","Rice Krispies","Sweet"
2013-10-23 21:31:00,120,0,110,6,25,15,"Healthy",1,"CornBrown SugarOatmeal","Honey Bunches of Oats","Sweet"
2013-10-02 18:54:00,140,8,150,13,14,5,"Unhealthy",1,"Vitamin A vitamin C calcium","Alta dena milk","Salty"
2013-10-27 21:50:00,190,3,120,13,27,9,"Unhealthy",1,"Unbleached enriched flour, riboflavin, semisweet chocolate chips","Chips Ahoy","Sweet"
2013-09-20 17:53:00,50,0,0,11,12,0,"Healthy",1,"organic apple puree,,organic apple juice, organic strawberry","apple strawberry fruit wrap","Sweet"
2013-10-24 09:46:00,160,2,260,0,13,11,"Unhealthy",1,"enriched corn meal ferrous sulfate","hot cheetoes","Salty"
2013-10-05 11:25:00,250,3,200,16,37,10,"Neither healthy nor unhealthy",1,"unbleached enriched flour (wheat flour,niacin,reduced ironiron","nutter butter","Salty"
2013-09-24 20:23:00,200,1,150,34,36,1,"Neither healthy nor unhealthy",1,"Culturated Low Fat Milk, Sugar, Strawberries","Yonique Strawberry Smoothie","Sweet"
2013-10-15 20:39:00,300,3,350,2,29,19,"Slightly Unhealthy",1,"Potatoes vegetable oil cheddar & sour cream seasoning","Ruffles","Salty"
2013-10-10 10:02:00,130,0,100,8,20,4,"Neither healthy nor unhealthy",1,"whole wheat,  flour, enriched flour","whole grain belly bears","Sweet"
2013-10-21 18:34:00,260,9,90,24,27,13,"Slightly healthy",1,"Whole milk and cream, sugar, coconut","Librertí© Yogurt","Sweet"
2013-09-26 21:49:00,110,0,140,11,27,0,"Slightly Unhealthy",1,"Milled corn, sugar, 2% or less of malt flavoring","Frosted Flakes","Sweet"
2013-10-04 16:59:00,140,1,170,4,21,5,"Slightly Unhealthy",3,"whole grain wheat flour , soybean oil , sugar","weat thins","Salty"
2013-10-11 12:48:00,100,0,0,7,0,0,"Slightly healthy",1,"cultured pasteurized milk, termapillow, bulgaricus","yogurt","Sweet"
2013-10-26 16:54:00,210,6,15,25,27,12,"Slightly Unhealthy",1,"Cocoa butter, unsweetened chocolate,skim milk","Milk chocolate with almonds","Sweet"
2013-09-27 13:17:00,320,3,510,0,25,22,"Unhealthy",1,"Enriched Corn Meal ,  Vegtable Oil , Canola","Hot Lemon Cheetos","Salty"
2013-10-24 10:20:00,140,0,45,39,0,0,"Unhealthy",1,"caffeine,caramel color,phosphoric acid","coca cola","Sweet"
2013-10-29 21:01:00,80,0,150,21,21,0,"Slightly healthy",12,"water,fructose corn syrup, 0.5 citric acid","powerade","Sweet"
2013-09-30 19:57:00,180,10,40,0,1,20,"Neither healthy nor unhealthy",2,"Pork with Ham, Seperated Chicken, Water","Spam","Salty"
2013-10-10 10:08:00,220,2,200,20,37,7,"Neither healthy nor unhealthy",1,"enriched flour,  sugar, water","chocolate chip cookie","Sweet"
