Date,City,CO,NO2,SO2,O3,PM2.5,PM10,Type
2024-08-23 07:00:00+00:00,Beijing,740.0,48.2,49.0,205.0,84.3,121.5,Industrial
2024-06-06 14:00:00+00:00,Beijing,680.0,82.0,38.9,48.0,82.2,118.5,Industrial
2024-06-17 07:00:00+00:00,Beijing,283.0,9.1,12.3,202.0,27.2,41.3,Industrial
2024-04-02 06:00:00+00:00,Beijing,777.0,23.4,31.1,79.0,66.4,112.7,Industrial
2024-08-03 02:00:00+00:00,Beijing,608.0,47.7,32.8,98.0,82.0,121.1,Industrial
2024-08-29 01:00:00+00:00,Beijing,1396.0,71.1,69.9,38.0,110.4,157.4,Industrial
2024-10-11 06:00:00+00:00,Beijing,799.0,67.4,77.8,25.0,62.9,99.9,Industrial
2024-06-19 20:00:00+00:00,Beijing,514.0,47.1,27.3,49.0,59.5,88.5,Industrial
2024-12-12 23:00:00+00:00,Beijing,896.0,37.5,32.2,27.0,30.6,42.1,Industrial
2024-03-18 14:00:00+00:00,Beijing,222.0,12.9,8.0,77.0,11.6,40.2,Industrial
2024-06-16 02:00:00+00:00,Beijing,574.0,58.3,62.0,68.0,59.8,88.2,Industrial
2024-08-30 04:00:00+00:00,Beijing,939.0,88.4,77.5,167.0,115.3,164.8,Industrial
2024-09-29 21:00:00+00:00,Beijing,283.0,11.1,6.4,44.0,11.1,17.6,Industrial
2024-12-28 15:00:00+00:00,Beijing,3720.0,64.6,112.8,0.0,134.6,135.0,Industrial
2024-05-11 01:00:00+00:00,Beijing,183.0,10.2,5.0,86.0,18.9,44.6,Industrial
2024-07-15 02:00:00+00:00,Beijing,502.0,40.4,36.4,87.0,62.2,92.2,Industrial
2024-03-05 09:00:00+00:00,Beijing,803.0,50.6,42.8,23.0,82.4,149.0,Industrial
2024-10-02 20:00:00+00:00,Beijing,641.0,35.9,24.7,0.0,46.7,67.1,Industrial
2024-04-05 08:00:00+00:00,Beijing,600.0,46.2,47.4,67.0,63.1,107.1,Industrial
2024-02-14 15:00:00+00:00,Beijing,648.0,57.0,37.4,15.0,37.5,53.8,Industrial
2024-06-13 19:00:00+00:00,Beijing,652.0,66.3,32.6,19.0,79.4,119.7,Industrial
2024-05-23 01:00:00+00:00,Beijing,578.0,41.0,42.1,63.0,77.3,114.1,Industrial
2024-09-05 04:00:00+00:00,Beijing,207.0,8.6,6.2,79.0,11.7,17.1,Industrial
2024-11-26 22:00:00+00:00,Beijing,322.0,13.5,11.8,62.0,11.2,11.6,Industrial
2024-06-18 21:00:00+00:00,Beijing,531.0,51.6,32.7,41.0,56.9,84.1,Industrial
2024-06-01 05:00:00+00:00,Beijing,208.0,12.4,11.6,120.0,17.7,39.6,Industrial
2024-01-29 10:00:00+00:00,Beijing,1279.0,73.2,70.6,3.0,106.9,157.4,Industrial
2024-05-11 04:00:00+00:00,Beijing,170.0,5.5,3.9,105.0,14.4,28.1,Industrial
2024-09-13 03:00:00+00:00,Beijing,477.0,46.1,37.7,74.0,48.3,69.2,Industrial
2024-02-09 04:00:00+00:00,Beijing,642.0,33.0,37.9,43.0,44.8,67.3,Industrial
2024-12-13 03:00:00+00:00,Beijing,516.0,12.8,18.0,49.0,17.4,22.1,Industrial
2024-06-30 15:00:00+00:00,Beijing,1374.0,126.7,75.2,11.0,138.8,210.9,Industrial
2024-11-17 16:00:00+00:00,Beijing,1960.0,59.7,97.0,0.0,135.0,140.2,Industrial
2024-04-10 04:00:00+00:00,Beijing,870.0,60.2,84.1,5.0,99.2,158.8,Industrial
2024-10-18 16:00:00+00:00,Beijing,177.0,11.7,5.1,61.0,4.4,6.2,Industrial
2024-11-30 07:00:00+00:00,Beijing,2587.0,57.4,100.5,15.0,68.5,78.2,Industrial
2024-05-17 09:00:00+00:00,Beijing,379.0,23.8,21.9,185.0,47.8,71.0,Industrial
