"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"16 years old","Male","10th grade","No","White",1.65,117.03,"Never wore a helmet","Never","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","4 to 6 times","Did not eat green salad","1 to 3 times","1 to 3 glasses","3 days","5 days","2 hours per day","3 hours per day","1 team","No","5 hours","Did not drink sports drink","4 to 6 times","0 times"
"16 years old","Male","11th grade","No","Asian",1.7,64.41,"Rarely wore a helmet","Most of the time",NA,"1 time","No","No","No","0 days","10 to 19 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 time per day","1 glass per day","0 days","4 days","2 hours per day","5 or more hours per day","1 team","No","6 hours",NA,NA,NA
"14 years old","Female","9th grade","Yes","Hispanic/Latino",1.57,64.41,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","0 times","No","No","No","0 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14 years old","Female","9th grade","Yes","Multiple - Hispanic / Latino",1.6,54.43,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","Yes","Yes","Yes","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","4 to 6 times","1 time per day","1 glass per day","1 day","7 days","1 hour per day","5 or more hours per day","1 team","No","5 hours","1 time per day","2 times per day","0 times"
"16 years old","Female","10th grade","Yes","Multiple - Hispanic / Latino",1.4,56.7,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 or more times per day","Did not eat green salad","1 time per day","1 glass per day","3 days","0 days","3 hours per day","4 hours per day","0 teams","No","7 hours","1 time per day","1 time per day","1 times"
"16 years old","Female","10th grade","No","White",1.57,54.89,"Never wore a helmet","Always","0 days","0 times","Yes","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","Did not eat green salad","1 time per day","4 or more glasses per day","0 days","3 days","Less than 1 hour per day","3 hours per day","0 teams","Not sure","9 hours","Did not drink sports drink","4 or more times per day","4 times"
"14 years old","Female","9th grade","No","White",1.75,113.4,"Never wore a helmet","Sometimes","I did not drive the past 30 days","0 times","Yes","No","Yes","0 days","1 or 2 days","Heterosexual (straight)","Very overweight","1 to 3 times","4 to 6 times","1 to 3 times","4 to 6 times","1 glass per day","5 days","4 days","No TV on average school day","3 hours per day","0 teams","Yes","6 hours","Did not drink sports drink","2 times per day","3 times"
"15 years old","Male","9th grade","Yes","Hispanic/Latino",1.8,57.61,"Never wore a helmet","Always","I did not drive the past 30 days","2 or 3 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","3 times per day","2 times per day","1 to 3 times","2 glasses per day","7 days","7 days","2 hours per day","Less than 1 hour per day","2 teams","No","8 hours","1 to 3 times","4 or more times per day","0 times"
"17 years old","Female","11th grade","No","White",1.52,54.43,"Did not ride a bicycle","Always","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","4 to 6 times","1 to 3 times","1 glass per day","4 days","3 days","No TV on average school day","5 or more hours per day","0 teams","No","6 hours","Did not drink sports drink","4 to 6 times","0 times"
"15 years old","Male","9th grade","No","White",1.73,65.77,"Sometimes wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 time per day","1 time per day","1 to 3 times","2 glasses per day","7 days","7 days","No TV on average school day","1 hour per day","3 or more teams","No","5 hours","1 to 3 times","3 times per day","5 or more times"
"14 years old","Male","9th grade","No","White",1.78,70.76,"Never wore a helmet","Most of the time","I did not drive the past 30 days","1 time","No","No","No","6 to 9 days","6 to 9 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 times","2 glasses per day","4 days","7 days","4 hours per day","5 or more hours per day","0 teams","No","6 hours","Did not drink sports drink","4 or more times per day","3 times"
"14 years old","Male","9th grade","No","Asian",1.63,56.25,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","3 times per day","1 to 3 glasses","7 days","6 days","1 hour per day","3 hours per day","2 teams","Not sure","7 hours","Did not drink sports drink","4 or more times per day","0 times"
"16 years old","Female","11th grade","Yes","Multiple - Hispanic / Latino",1.55,49.9,"Did not ride a bicycle","Sometimes","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","Did not drink fruit juice","1 to 3 times","1 time per day","2 times per day","Did not drink milk","7 days","6 days","3 hours per day","2 hours per day","0 teams","No","7 hours","1 to 3 times","4 to 6 times","2 times"
"17 years old","Female","12th grade","Yes","Hispanic/Latino",1.57,54.43,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","Yes","Yes","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","Did not eat green salad","1 to 3 times","1 to 3 glasses","7 days","0 days","2 hours per day","2 hours per day","0 teams","Yes","7 hours","1 to 3 times","4 to 6 times","0 times"
"15 years old","Male","9th grade","No","White",1.78,63.5,"Never wore a helmet","Most of the time","1 or 2 days","2 or 3 times","No","Yes","Yes","10 to 19 days","10 to 19 days","Heterosexual (straight)","About the right weight","1 time per day","2 times per day","1 time per day","2 times per day","4 or more glasses per day","7 days","7 days","3 hours per day","No playing video/computer game","2 teams","Yes","8 hours","2 times per day","4 or more times per day","0 times"
"14 years old","Male","9th grade","No","White",1.88,63.05,NA,"Always","I did not drive the past 30 days","0 times","No","No","No","0 days",NA,NA,"About the right weight","1 time per day","1 time per day","1 to 3 times","1 time per day",NA,"1 day","5 days","2 hours per day","3 hours per day",NA,NA,"4 or less hours",NA,"1 time per day",NA
"15 years old","Male","10th grade","Yes","Multiple - Hispanic / Latino",1.78,64.41,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","1 or 2 days","3 to 5 days","Heterosexual (straight)","About the right weight","1 to 3 times","Did not eat fruit","4 to 6 times","Did not drink soda or pop","1 glass per day","7 days","7 days","Less than 1 hour per day","5 or more hours per day","0 teams","No","8 hours","Did not drink sports drink","4 or more times per day","0 times"
"16 years old","Female","10th grade","No","White",1.52,49.9,"Always wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 or more times per day","4 or more times per day","4 or more times per day","1 to 3 times","4 or more glasses per day","7 days","7 days","No TV on average school day","No playing video/computer game","2 teams","Not sure","5 hours","3 times per day","4 or more times per day","0 times"
"16 years old",NA,"10th grade","No","White",NA,NA,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days",NA,"About the right weight","4 to 6 times","1 to 3 times","Did not eat green salad","1 to 3 times","1 glass per day","7 days","4 days","2 hours per day","5 or more hours per day","0 teams","Yes","6 hours","1 to 3 times","2 times per day","5 or more times"
"17 years old","Female","11th grade","Yes","Multiple - Hispanic / Latino",1.65,70.76,"Never wore a helmet","Always","0 days","8 or 9 times","No","No","Yes","0 days","3 to 5 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 times","Did not drink milk","6 days","0 days","No TV on average school day","5 or more hours per day","0 teams","No","6 hours","Did not drink sports drink","1 time per day","4 times"
"17 years old","Male","12th grade","No","White",1.68,70.76,NA,NA,"20 to 29 days",NA,"No","No","No","0 days",NA,"Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","1 to 3 times","1 to 3 times",NA,NA,"0 days","1 hour per day","1 hour per day",NA,"No","5 hours",NA,NA,NA
"17 years old","Female","11th grade","No","White",1.7,68.04,"Never wore a helmet","Sometimes","All 30 days","1 time","No","No","Yes","0 days","10 to 19 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink milk","6 days","5 days","No TV on average school day","No playing video/computer game","0 teams","No","6 hours","Did not drink sports drink","2 times per day","0 times"
"16 years old","Female","11th grade","No","White",1.6,95.26,NA,NA,"0 days",NA,"No","No","No","10 to 19 days","6 to 9 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","1 to 3 times","1 to 3 times","4 or more times per day",NA,NA,"3 days","5 or more hours per day","1 hour per day",NA,"No","6 hours",NA,NA,NA
"16 years old","Female","11th grade","Yes","Multiple - Hispanic / Latino",1.57,57.15,"Did not ride a bicycle","Always","I did not drive the past 30 days","2 or 3 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","4 to 6 times","1 to 3 times","1 to 3 times","1 to 3 glasses","5 days","2 days","4 hours per day","1 hour per day","1 team","No",NA,"Did not drink sports drink","2 times per day","2 times"
"17 years old","Female","12th grade","No","White",1.65,54.43,NA,NA,"0 days",NA,"Yes","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","1 to 3 times","Did not drink soda or pop",NA,NA,"3 days","No TV on average school day","1 hour per day",NA,"Yes","7 hours",NA,NA,NA
"17 years old","Female","12th grade","No","White",1.63,56.7,NA,NA,"0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 time per day","Did not eat green salad","Did not drink soda or pop",NA,NA,"1 day","No TV on average school day","Less than 1 hour per day",NA,"No","8 hours",NA,NA,NA
"17 years old","Female","12th grade","No","Black or African American",1.68,64.41,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 time per day","4 to 6 times","Did not drink soda or pop","1 to 3 glasses","6 days","0 days","Less than 1 hour per day","5 or more hours per day","0 teams","No","8 hours","Did not drink sports drink","3 times per day","0 times"
"17 years old","Female","11th grade","No","Asian",1.68,58.97,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","2 times per day","4 or more times per day","1 to 3 times","3 times per day","Did not drink milk","7 days","0 days","4 hours per day","Less than 1 hour per day","0 teams","No","6 hours","2 times per day","4 or more times per day","0 times"
"15 years old","Male","9th grade","No","White",1.73,56.7,"Most of the time wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","3 times per day","1 to 3 times","1 to 3 times","1 to 3 glasses","7 days","1 day","No TV on average school day","Less than 1 hour per day","1 team","No","8 hours","1 time per day","4 to 6 times","1 times"
"14 years old","Female","9th grade","Yes","Hispanic/Latino",NA,NA,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","bisexual","Slightly overweight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 time per day","1 to 3 glasses","0 days","2 days","3 hours per day",NA,"0 teams","No","7 hours","Did not drink sports drink","4 to 6 times","0 times"
"15 years old","Female","9th grade","Yes","Hispanic/Latino",1.55,47.17,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 to 6 times","1 to 3 times","4 to 6 times","Did not drink milk","7 days","0 days","Less than 1 hour per day","No playing video/computer game","0 teams","No","7 hours","1 to 3 times","4 to 6 times","0 times"
"16 years old","Female","10th grade","No","White",1.45,61.24,"Always wore a helmet","Most of the time","I did not drive the past 30 days","2 or 3 times","Yes","Yes","Yes","0 days","1 or 2 days","Heterosexual (straight)","Very overweight","1 to 3 times","1 to 3 times","Did not eat green salad","Did not drink soda or pop","1 glass per day","2 days","7 days","No TV on average school day","No playing video/computer game","2 teams","Yes","4 or less hours","Did not drink sports drink","4 or more times per day","0 times"
"14 years old","Male","9th grade","No","White",1.68,54.43,"Never wore a helmet","Sometimes",NA,"0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","Did not eat green salad","4 to 6 times","Did not drink milk","7 days","5 days","4 hours per day","Less than 1 hour per day","1 team","No","5 hours","4 to 6 times","1 to 3 times","0 times"
"16 years old","Male","11th grade","No","White",1.7,52.16,"Never wore a helmet","Always","20 to 29 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 to 3 times","Did not eat green salad","1 time per day","Did not drink milk","2 days","7 days","1 hour per day","3 hours per day","1 team","No","8 hours","1 time per day","1 to 3 times","3 times"
"16 years old","Female","11th grade","No","White",1.6,58.97,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","Yes","Yes","Yes","1 or 2 days","3 to 5 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink milk","1 day","0 days","Less than 1 hour per day","4 hours per day","0 teams","Yes","5 hours","4 to 6 times","2 times per day","0 times"
"15 years old","Male","10th grade","Yes","Hispanic/Latino",1.78,90.72,"Did not ride a bicycle","Always","0 days","0 times","Yes","No","No","0 days","0 days","Heterosexual (straight)","Very overweight","Did not drink fruit juice","1 time per day","1 to 3 times","1 to 3 times","2 glasses per day","2 days","2 days","No TV on average school day","4 hours per day","1 team","No","4 or less hours","1 to 3 times","4 or more times per day","0 times"
"16 years old","Female","11th grade","Yes","Hispanic/Latino",1.65,58.97,"Never wore a helmet","Always",NA,"0 times","No","No","Yes","0 days","0 days","bisexual","Slightly overweight","1 to 3 times","4 or more times per day","1 time per day","1 time per day","2 glasses per day","0 days","1 day","No TV on average school day","Less than 1 hour per day","0 teams","No","4 or less hours","Did not drink sports drink","4 or more times per day","0 times"
"15 years old","Female","10th grade","No","White",1.65,50.8,"Rarely wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly underweight","Did not drink fruit juice","2 times per day","Did not eat green salad","Did not drink soda or pop","Did not drink milk","7 days","2 days","3 hours per day","5 or more hours per day","0 teams","No","7 hours","1 to 3 times","1 to 3 times","2 times"
"15 years old","Male","10th grade","No","White",1.78,63.5,"Did not ride a bicycle","Most of the time","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 time per day","1 to 3 times","1 to 3 times","1 to 3 glasses","4 days","6 days","2 hours per day","3 hours per day","0 teams","No","7 hours","4 or more times per day","2 times per day","1 times"
"18 years old or older","Male","12th grade","No","White",1.7,79.38,NA,"Always","1 or 2 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 glasses","4 days","7 days","2 hours per day","Less than 1 hour per day","2 teams","Yes","6 hours","4 to 6 times","4 or more times per day","2 times"
"17 years old","Male","10th grade","No","White",1.83,79.38,"Did not ride a bicycle","Always","6 to 9 days","0 times","Yes","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 glasses","3 days","2 days","4 hours per day","4 hours per day","0 teams","No","7 hours","1 to 3 times","1 time per day","1 times"
"15 years old","Female","9th grade","No","Asian",1.57,56.7,NA,"Never","I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","bisexual","About the right weight","2 times per day","1 to 3 times","Did not eat green salad","4 to 6 times",NA,"3 days","0 days","2 hours per day","No playing video/computer game",NA,NA,NA,NA,NA,NA
"16 years old","Female","10th grade","No","White",1.63,54.89,NA,NA,"0 days",NA,"Yes","Yes","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","2 times per day","4 to 6 times","1 time per day","2 times per day",NA,NA,"2 days","2 hours per day","1 hour per day",NA,"No","7 hours",NA,NA,NA
"15 years old","Male","10th grade","No","White",1.83,92.99,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","Very underweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","Did not drink soda or pop",NA,NA,"0 days","No TV on average school day","No playing video/computer game",NA,"Yes","4 or less hours",NA,NA,NA
"15 years old","Female","10th grade","No","White",1.6,47.63,NA,NA,"I did not drive the past 30 days",NA,"Yes","Yes","Yes","20 to 29 days","6 to 9 days","bisexual","About the right weight","1 to 3 times","2 times per day","Did not eat green salad","4 or more times per day",NA,NA,"7 days","4 hours per day","4 hours per day",NA,"No","4 or less hours",NA,NA,NA
"17 years old","Male","12th grade","No","Black or African American",1.83,80.74,"Never wore a helmet","Always","All 30 days","1 time","No","No","No","All 30 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","Did not eat fruit","Did not eat green salad","2 times per day","4 to 6 glasses","0 days","2 days","Less than 1 hour per day","5 or more hours per day","3 or more teams","No","6 hours","Did not drink sports drink","1 time per day","5 or more times"
"17 years old","Male","11th grade","Yes","Hispanic/Latino",1.83,63.5,"Never wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","2 times per day","Did not eat fruit","Did not eat green salad","4 or more times per day","1 to 3 glasses","6 days","5 days","2 hours per day","1 hour per day","2 teams","Yes","6 hours","4 to 6 times","4 to 6 times","3 times"
"15 years old","Male","10th grade","No","White",1.78,68.04,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","2 times per day","1 to 3 times","1 to 3 times","4 to 6 times",NA,NA,"7 days","Less than 1 hour per day","4 hours per day",NA,"No","5 hours",NA,NA,NA
"16 years old","Male","11th grade","No","White",1.35,45.36,NA,NA,"3 to 5 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","Did not eat green salad","4 to 6 times",NA,NA,"7 days","2 hours per day","No playing video/computer game",NA,"No","7 hours",NA,NA,NA
"17 years old","Male","11th grade","No","White",1.75,62.6,NA,"Always","0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 to 3 times","1 to 3 times",NA,NA,"7 days","7 days","3 hours per day","Less than 1 hour per day",NA,NA,NA,NA,NA,NA
"16 years old","Female","11th grade","Yes","Hispanic/Latino",1.68,60.78,"Never wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","Yes","0 days","10 to 19 days","Heterosexual (straight)","About the right weight","3 times per day","2 times per day","3 times per day","Did not drink soda or pop","2 glasses per day","6 days","6 days","4 hours per day","5 or more hours per day","3 or more teams","No","5 hours","3 times per day","4 or more times per day","5 or more times"
"15 years old","Male","Ungraded or other grade","No","Am Indian / Alaska Native",1.55,58.06,"Did not ride a bicycle","Never","I did not drive the past 30 days","0 times","Yes","Yes","No",NA,"0 days","Heterosexual (straight)","Very overweight","1 to 3 times","Did not eat fruit","Did not eat green salad","Did not drink soda or pop","Did not drink milk","7 days","7 days","5 or more hours per day",NA,"2 teams",NA,"4 or less hours",NA,NA,NA
"16 years old","Male","11th grade","Yes","Multiple - Hispanic / Latino",1.73,121.56,"Never wore a helmet","Always","0 days","0 times","No","No","No","1 or 2 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","4 to 6 times","4 to 6 times","Did not drink milk","0 days","2 days","3 hours per day","No playing video/computer game","1 team","No","8 hours","Did not drink sports drink","4 to 6 times","0 times"
"14 years old","Male","9th grade","No","White",1.73,70.31,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times","Did not drink milk","1 day","3 days","No TV on average school day","2 hours per day","1 team","No","8 hours","Did not drink sports drink","4 to 6 times","0 times"
"16 years old","Male","10th grade","No","White",1.83,61.24,"Rarely wore a helmet","Always","I did not drive the past 30 days","1 time","No","No","Yes","0 days","0 days","Heterosexual (straight)","Very underweight","1 to 3 times","4 to 6 times","4 to 6 times","2 times per day","4 to 6 glasses","0 days","7 days","1 hour per day","3 hours per day","0 teams","No","5 hours","Did not drink sports drink","2 times per day","3 times"
"15 years old","Female","10th grade","Yes","Multiple - Hispanic / Latino",NA,NA,"Never wore a helmet","Most of the time","1 or 2 days","1 time","Yes","No","Yes","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","2 times per day","1 to 3 times","1 to 3 times","1 to 3 times","1 glass per day","3 days","5 days","No TV on average school day","4 hours per day","1 team","No","8 hours","1 time per day","1 to 3 times","1 times"
"17 years old","Female","12th grade","Yes","Hispanic/Latino",1.6,58.97,"Never wore a helmet","Always",NA,"0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink soda or pop","1 to 3 glasses","0 days","4 days","No TV on average school day","No playing video/computer game","0 teams","No","5 hours","1 to 3 times","3 times per day","0 times"
"15 years old","Male","9th grade","No","Asian",1.68,58.97,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No",NA,"0 days","0 days",NA,NA,"2 times per day","3 times per day","Did not eat green salad","Did not drink soda or pop","2 glasses per day","7 days",NA,"No TV on average school day",NA,"1 team","No",NA,"1 to 3 times","4 or more times per day","0 times"
"17 years old","Female","11th grade","No","White",1.63,95.26,"Never wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Very overweight","1 time per day","2 times per day","Did not eat green salad","1 time per day","2 glasses per day","3 days","5 days","Less than 1 hour per day","5 or more hours per day","0 teams","No","4 or less hours","Did not drink sports drink","4 or more times per day","1 times"
"16 years old","Female","10th grade","No","White",1.63,62.6,"Did not ride a bicycle","Sometimes","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","4 to 6 times","4 to 6 times","1 to 3 times","1 to 3 glasses","2 days","4 days","Less than 1 hour per day","No playing video/computer game","2 teams","No","7 hours","Did not drink sports drink","1 time per day","4 times"
"15 years old","Male","10th grade","Yes","Multiple - Hispanic / Latino",1.63,60.78,"Did not ride a bicycle","Most of the time","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","4 to 6 times","1 glass per day","7 days","1 day","No TV on average school day","4 hours per day","0 teams","No","5 hours","Did not drink sports drink","4 to 6 times","2 times"
"15 years old","Female","10th grade","No","White",1.73,63.5,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times",NA,NA,"1 day","Less than 1 hour per day","5 or more hours per day",NA,"No","8 hours",NA,NA,NA
"16 years old","Female","10th grade","Yes","Hispanic/Latino",NA,NA,"Most of the time wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days",NA,"Very overweight","4 or more times per day","4 or more times per day","4 or more times per day","4 or more times per day","4 or more glasses per day","4 days","0 days","3 hours per day","No playing video/computer game","0 teams","No",NA,"4 or more times per day","4 or more times per day","0 times"
"15 years old","Male","9th grade","No","White",1.75,56.7,"Never wore a helmet","Most of the time","0 days","0 times","No","No","No","1 or 2 days","10 to 19 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","Did not eat green salad","1 to 3 times","2 glasses per day","4 days","7 days","2 hours per day","3 hours per day","2 teams","No","9 hours","4 to 6 times","4 or more times per day","0 times"
"17 years old","Male","12th grade","Yes","Hispanic/Latino",1.75,81.65,"Never wore a helmet","Always","1 or 2 days","0 times","No","No","No","1 or 2 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 times","Did not drink milk","0 days","4 days","No TV on average school day","2 hours per day","1 team","Yes","6 hours",NA,NA,NA
"17 years old","Female","12th grade","No","White",1.68,53.52,"Always wore a helmet","Always","0 days","0 times","No","No","Yes","0 days","0 days","bisexual","About the right weight","4 to 6 times","1 time per day","1 time per day","Did not drink soda or pop","1 glass per day","7 days","5 days","Less than 1 hour per day","3 hours per day","0 teams","No","8 hours","Did not drink sports drink","4 or more times per day","0 times"
"14 years old","Female","9th grade","No","White",1.55,48.54,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","4 to 6 times","Did not eat green salad","1 to 3 times","1 to 3 glasses","5 days","4 days","2 hours per day","2 hours per day","0 teams","No","7 hours","Did not drink sports drink","2 times per day","0 times"
"17 years old","Female","11th grade","No","Native Hawaiian/other PI",1.65,59.42,"Never wore a helmet","Always","0 days","0 times","No","No","Yes",NA,"0 days","bisexual","Very overweight","1 time per day","1 time per day","Did not eat green salad","1 to 3 times","Did not drink milk","2 days","5 days","No TV on average school day","5 or more hours per day","0 teams","Yes","8 hours","Did not drink sports drink","4 or more times per day","2 times"
"18 years old or older","Male","12th grade","No","White",1.78,68.04,"Always wore a helmet","Always","3 to 5 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 or more times per day","4 or more times per day","4 or more times per day","4 or more glasses per day","5 days","7 days","3 hours per day","4 hours per day","1 team","No","8 hours","4 or more times per day","4 or more times per day","5 or more times"
"17 years old","Female","11th grade","Yes","Hispanic/Latino",1.6,48.54,"Never wore a helmet","Sometimes","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","1 to 3 times","Did not drink soda or pop","Did not drink milk","3 days","0 days","1 hour per day","No playing video/computer game","1 team","No","7 hours","Did not drink sports drink","4 or more times per day","1 times"
"16 years old","Male","10th grade","Yes","Hispanic/Latino",1.73,58.97,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 time per day","1 to 3 times","1 to 3 times","1 to 3 glasses","7 days","5 days","1 hour per day","2 hours per day","0 teams","No","8 hours","Did not drink sports drink","2 times per day","0 times"
"17 years old","Female","12th grade","No","Asian",1.57,48.08,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","2 times per day","Did not eat green salad","Did not drink soda or pop","1 glass per day","7 days","2 days","No TV on average school day","No playing video/computer game","0 teams","No","6 hours",NA,NA,NA
"14 years old","Male","9th grade","Yes","Multiple - Hispanic / Latino",1.68,81.65,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","Did not eat fruit","Did not eat green salad","4 or more times per day",NA,NA,"7 days","1 hour per day","3 hours per day",NA,"No","8 hours",NA,NA,NA
"17 years old","Male","11th grade","Yes","Hispanic/Latino",1.68,65.77,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","Did not eat fruit","Did not eat green salad","1 to 3 times","Did not drink milk","3 days","4 days","3 hours per day","2 hours per day","0 teams","Yes","8 hours",NA,NA,NA
"15 years old","Female","9th grade","No","White",1.57,54.43,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 glasses","6 days","6 days","Less than 1 hour per day","Less than 1 hour per day","1 team","No","7 hours","Did not drink sports drink","1 time per day","5 or more times"
