"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"17 years old","Male","12th grade","No","White",1.7,90.72,NA,NA,"0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","4 to 6 times",NA,NA,"0 days","1 hour per day","2 hours per day",NA,"No","7 hours",NA,NA,NA
"18 years old or older","Male","12th grade","Yes","Multiple - Hispanic / Latino",1.75,97.52,NA,"Most of the time","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","2 times per day","1 time per day","Did not eat green salad","1 to 3 times","3 glasses per day","5 days","0 days","3 hours per day","3 hours per day","3 or more teams","No","6 hours",NA,NA,NA
"18 years old or older","Female","12th grade","No","White",1.47,48.54,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 time per day","1 to 3 times","4 to 6 times","1 time per day","1 glass per day","4 days","3 days","2 hours per day","2 hours per day","0 teams","No","6 hours","1 to 3 times","2 times per day","2 times"
"16 years old","Female","10th grade","Yes","Multiple - Hispanic / Latino",1.65,57.15,"Never wore a helmet","Always","All 30 days","2 or 3 times","No","No","Yes","6 to 9 days","10 to 19 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","4 or more times per day","Did not eat green salad","2 times per day","2 glasses per day","2 days","7 days","1 hour per day","5 or more hours per day","2 teams","Yes","4 or less hours","2 times per day","4 or more times per day","2 times"
"16 years old","Female","10th grade","No","Black or African American",1.68,79.83,"Rarely wore a helmet","Always",NA,NA,"No","No","No",NA,"0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","4 to 6 times","1 to 3 times","1 to 3 times","Did not drink milk","3 days","3 days","No TV on average school day","No playing video/computer game","0 teams","Yes","8 hours",NA,NA,NA
"15 years old","Male","9th grade","No","White",1.8,68.04,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 time per day","1 to 3 times",NA,NA,"7 days","No TV on average school day","4 hours per day",NA,"No","7 hours",NA,NA,NA
"15 years old","Female","10th grade","Yes","Hispanic/Latino",1.55,56.7,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 time per day","1 to 3 times","1 time per day","1 glass per day","0 days","4 days","No TV on average school day","No playing video/computer game","1 team","No","7 hours","1 to 3 times","1 time per day","0 times"
"17 years old","Female","10th grade","No","Black or African American",1.65,54.43,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","1 time","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 to 6 times","1 to 3 times","4 to 6 times","4 to 6 glasses","7 days","0 days","2 hours per day","2 hours per day","0 teams","No","7 hours","Did not drink sports drink","4 to 6 times","0 times"
"14 years old","Female","9th grade","Yes","Hispanic/Latino",1.7,71.67,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","Yes","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 glasses","2 days","2 days","2 hours per day","Less than 1 hour per day","0 teams","No","7 hours",NA,NA,NA
"15 years old","Male","10th grade","No","White",1.78,64.86,"Never wore a helmet","Most of the time","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","2 times per day","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","0 days","4 days","1 hour per day","3 hours per day","1 team","No","6 hours","1 to 3 times","3 times per day","2 times"
"17 years old","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.63,58.97,"Never wore a helmet","Most of the time","6 to 9 days","0 times","No","No","Yes","0 days","0 days","Gay or lesbian","Slightly overweight","1 to 3 times","1 to 3 times","Did not eat green salad","4 or more times per day","1 to 3 glasses","6 days","0 days","No TV on average school day","No playing video/computer game","0 teams","No","6 hours","Did not drink sports drink","1 to 3 times","2 times"
"16 years old","Female","10th grade","No","White",1.6,46.27,"Rarely wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink milk","7 days","6 days","1 hour per day","Less than 1 hour per day","1 team","No","6 hours","Did not drink sports drink","3 times per day","3 times"
"18 years old or older","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.65,81.65,"Did not ride a bicycle","Always","3 to 5 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 time per day","2 times per day","2 times per day","3 times per day","2 glasses per day","1 day","7 days","4 hours per day","No playing video/computer game","1 team","Yes","6 hours","2 times per day","2 times per day","0 times"
"14 years old","Female","9th grade","No","White",1.6,54.43,NA,NA,"0 days",NA,"No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 time per day","1 to 3 times","1 to 3 times",NA,NA,"6 days","1 hour per day","No playing video/computer game",NA,"No","7 hours",NA,NA,NA
