"caseid","V1","V2","V3","V4","V5","V6","V7"
"20160302162231","26","01","Full time","01","420","0","0"
"20161008161238","35","01","No answer","02","600","0","549"
"20160404160711","37","01","Full time","01","450","0","443"
"20160605161043","24","01","Full time","01","540","0","250"
"20160605160090","51","02","No answer","01","570","0","190"
"20160503162497","54","01","Full time","01","968","0","0"
"20161211160916","68","02","No answer","01","567","0","220"
"20160212151364","43","02","Full time","01","585","0","60"
"20161110161599","20","01","Part time","01","540","0","343"
"20160606160011","19","02","No answer","01","950","0","30"
"20160908161272","23","02","Full time","01","875","0","60"
"20161110160660","45","01","Full time","01","480","0","355"
"20160302161549","51","02","Full time","01","375","0","176"
"20160706161725","30","01","Part time","01","880","0","250"
"20160604160814","16","02","No answer","01","359","0","710"
"20160112150980","46","02","Full time","01","540","0","75"
"20160807161682","56","02","Full time","01","390","0","200"
"20160808160735","57","01","Full time","01","690","0","358"
"20160403162394","72","02","Full time","01","505","0","60"
"20160605161855","42","01","Full time","01","460","0","222"
"20160605162230","54","02","Full time","01","660","0","165"
"20160908161007","60","01","Part time","01","300","0","325"
"20160212151855","30","01","Full time","01","360","0","0"
"20160807160598","85","02","No answer","01","525","0","545"
"20160504162396","85","02","No answer","02","505","0","685"
"20160806161658","26","01","Full time","01","608","0","270"
"20160706160601","85","02","No answer","01","540","0","705"
"20160907160747","73","02","No answer","01","600","0","460"
"20160201162302","60","01","Full time","01","610","0","255"
"20160403161549","62","02","No answer","01","510","0","495"
"20160605160893","54","02","Part time","01","425","0","180"
"20160201161854","60","02","Full time","01","351","0","30"
"20160112151942","44","02","Full time","01","383","0","142"
"20161009161835","28","02","Full time","01","730","0","570"
"20161009161503","39","01","Full time","01","475","0","300"
"20160808160033","16","02","No answer","01","525","0","555"
"20160112152264","68","02","Full time","01","505","0","120"
"20160705161210","37","01","Full time","01","525","0","398"
"20161010161723","60","01","No answer","01","720","0","420"
"20161009160503","33","01","Full time","01","480","0","358"
"20160605162306","16","01","No answer","01","540","0","623"
"20161110162109","71","02","No answer","01","390","0","270"
"20161211161017","29","01","Full time","01","540","0","210"
"20160112151174","26","01","Full time","02","648","0","148"
"20160202161818","34","01","Full time","01","660","0","135"
"20160503162348","45","02","Full time","01","431","0","135"
"20160908160944","55","02","No answer","01","600","0","690"
"20160504160726","19","01","Full time","01","613","0","50"
"20160303161753","56","02","No answer","02","825","0","165"
"20160604161198","26","01","Full time","01","569","0","165"
"20160706161525","55","02","Part time","01","540","0","190"
"20160112152104","29","01","Full time","01","420","0","0"
"20160112152256","48","01","Full time","01","414","0","180"
"20160402162462","80","02","No answer","01","600","0","485"
"20160705160696","39","02","Full time","01","630","0","0"
"20160201160036","33","02","No answer","01","570","0","155"
"20160807160585","30","02","Part time","01","645","0","125"
"20161210162125","55","01","Full time","01","720","0","600"
"20160908160062","42","01","Full time","01","489","0","95"
"20160807161835","29","01","Full time","01","540","0","430"
"20160403161478","62","01","Part time","01","655","0","345"
"20161211162282","31","01","Full time","01","305","0","581"
"20160404161894","53","01","Full time","01","390","0","535"
"20160504160811","51","02","Part time","01","170","0","345"
"20161110162322","30","02","Part time","01","700","0","240"
"20160404161109","50","02","Full time","01","465","0","110"
"20160111152397","42","02","No answer","02","630","0","585"
"20161110161716","40","01","Full time","01","240","0","770"
"20160707161612","56","02","Full time","01","423","0","350"
"20161110161380","46","01","Full time","01","590","0","95"
"20160605161700","75","02","No answer","01","525","0","375"
"20160605161549","64","02","No answer","01","435","0","615"
"20160604161987","42","01","Full time","01","490","0","85"
"20160908160934","27","01","Full time","01","270","0","372"
"20161110160642","70","01","No answer","01","600","0","130"
"20160505161409","51","01","Full time","01","420","0","0"
